id,year,text,ciarfn,company,ciarfn2
160347,1894,"ABERDARE MERTHYR COLLIERIES COMPANY,",Aberdare Merthyr Collieries Company,ABERDARE MERTHYR COLLIERIES COMPANY,Aberdare Merthyr Collieries Company
308525,1908,"£15,000 to present amount. The statutory report was dated November 1 1th, 1906. ABERDARE SYNDICATE, LIMITED. Directors C. J. Roberts i B. A. Woolf. Secretary and Offices A. J. Austin, 6, Abchurch Lane, B.C. This company was registered November 28tb, 1906, to acquire and deal in shores",Aberdare Syndicate Limited,ABERDARE SYNDICATE LIMITED,Aberdare Syndicate Limited
483768,1911,ABERDAUNANT LEAD COMPANY. LIMITED.,Aberdaunant Lead Company Limited,ABERDAUNANT LEAD COMPANY LIMITED,Aberdaunant Lead Company Limited
230713,1895,ABERDEEN EVENING- EXPRESS has a larger circulation than all other,Aberdeen Evening Express,ABERDEEN EVENING EXPRESS,Aberdeen Evening Express
457911,1911,"ABERFELDY MINING COMPANY, LIMITED. Direotors V. Nicolas. I W. A. Pittman.",Aberfeldy Mining Company Limited,ABERFELDY MINING COMPANY LIMITED,Aberfeldy Mining Company Limited
545222,1912,"The authorised capital is £3,000, in 300 shares of JE10 each. ABERFOYLE SLATE QJJARR.IES COMPANY, LIMI TED. W. Wingate GrDayir,eDct.Lo.r,s Qualification, 60 shares £600 BanCkhearirsma-nB.ank| E. J. Hill. I Albert Harvey. Auditor R. A. Murray, C.A., of Scotland. Secretary and Manager andGlasgow. I Glasgow Offices 11, West Regent Street. Offices J. Russell Lindsay, C.E., Aberfoyle by Stirling. This TelegramB : Lindsay, Aberfoylo. company was registered in Edinbnrgh August 10th, 1882, and is working Blate quarries at Aberfoyle, Scotland. The authorised capital is £20,000, in 2,000 shares of £10 each j all the shares are issued and fully paid. Dividends paid : For 1889-90, 6 per cent. ; 1890-1, 4 percent, j 1893-4, 4 per cent. ; 1894-5, 7 per cent. ; 1895-6, 10 per cent. 1896-7 to 1898-9, lc per cent. ; 1899-0, 12 per cent.; 1900-1 to 1902-3. 10 per cent.; 1903-4, 5 per cent.; 1904-5, 3 per cent., 1905-6, 2 per cent. ; nil since. The accounts for year ended September 30th, 1911, submitted in Glasgow November 15th, 1911, showed £935 debit balance carried forward ; cash £427, debtors £643, investments £1,626; creditors £286; reserve fund £6,000. Transfer form, common ; fee, 2s. 6d. ABERYSTWYTH SILVER LEAD MINES, LIMITED. F.H.Brooke | E. Booth, Directors Qua ification, £500 . Secretary and j F. C. Moorwor d. | E.Dutchman. | H. Brearloy. This company was Offices F. E. Warner, 7, East Parade, Sheffield. and regis.ered July 10th, 1909, to acquire and deal with a lead blende miniDg property, situate at Llanbadarnfawr, Cardiganshire. The con sideration was £10,600 in fully-piid shares. The authorised capital is £13,000, in 13,000 shares of £1 ca h ; 3,596 shares arc issued and fully paid. There are £500 part of £1,000 debentures.",Aberfoyle Slate Quarrles Company Limited,ABERFOYLE SLATE QJJARR IES COMPANY,Aberfoyle Slate Quarrles Company Limited
58709,1889,"ABERGELE COPPER ORE COMPANY, LIMITED.",Abergele Copper Ore Company Limited,ABERGELE COPPER ORE COMPANY LIMITED,Abergele Copper Ore Company Limited
364998,1909,"ABERNANT ANTH RACITETCOLLI E Rl ES, LIMITEb7 Directors.",Abernant Anthracite Collieries Limited,ABERNANT ANTH RACITETCOLLI LIMITEB,Abernant Anthracite Collieries Limited
605491,1913,"ABERNANT AN THRACITE COLLIERIES, LIMITED:",Abernant Thracite Collieries Limited,ABERNANT THRACITE COLLIERIES LIMITED,Abernant Thracite Collieries Limited
1032725,1921,ABER PERGWM COLLIERIES CO-. LTD.,Aberpergwm Collieries Limited,ABER PERGWM COLLIERIES LIMITED,Aberpergwm Collieries Limited
421408,1910,"ABERYSTWYTH SILVER LEAD MINES, LIMITED.",Aberystwyth Silver Lead Mines Limited,ABERYSTWYTH SILVER LEAD MINES LIMITED,Aberystwyth Silver Lead Mines Limited
459153,1911,AfRICAX COMPANIES. 165,Abhanti Banket,AFRICAX COMPANIES ABHANTI BANKET,Abhanti Banket
286719,1908,ABHANTI GOLDFIELDS CORPORATION,Abhanti Goldfields Corporation,ABHANTI GOLDFIELDS CORPORATION,Abhanti Goldfields Corporation
398097,1910,"ABHAWTI GOLDFIELDS COBPOKATION 5s. ; December 18th, 1901, 5s. ; February 5th, 1903, 6s. ; August 31st, 1903, 5s. ;",Abhawti Goldfields Cobpokation,ABHAWTI GOLDFIELDS COBPOKATION,Abhanti Goldfields Corporation
647689,1914,ABINSI SYNDICATE. LIMITED.,Abinsi Synwqftaie Limited,ABINSI SYNDICATE LIMITED,Abinsi Syndicate Limited
483793,1911,"i£, aBJ0yIjm 8LATB 1898-9, lc per cent. ; 1899-0, Q12UpAerBcBeTntE,S-contfiSedT s 1900-1 to 1902-3. 10 per cent. ; 1903-4, 6 per cent.; 1904-5, 3 per cent., 1905-6, 2J per cent. ; 1906-7, nil. The accounts for year ended September 30th, 1910, submitted in Glasgow November 9th, 1910, showed £305 debit balance carried forward ; cash £374, debtors £1,115, investments £2,126; creditors £334; reserve fund £6,000. Transfer form, common ; fee, 2s. 6d. ABERYSTWYTH SILVER LEAD MINES, LIMITED. F. H. Brooke. Directors Qualification, £500 . Secr|etaKr.yBoaotnhd. I F. 0. Moorwocd. | E. Dn chman. | H. Brearley. This Offices F. E. Warner, 7, East Para4e, Sheffield. company was registered July 10th, 1909, to acquire and deal with a lead and blend mining property, situate at Llanbadarnfawr, Cardiganshire. The con sideration was £10,600 in fully-paid shares. The authorised capital is £13,000, in 13,000 shares of £1 each ; 3,595 shares are issued and folly paid. There are £500 part of £1,000 debentures.",Abj Latb Aberystwyth Silver Lead,ABJ LATB ABERYSTWYTH SILVER LEAD,Aberystwyth Silver Lead
276271,1908,ABNHEIM S LAND EXPLORATION,Abnheim Land Exploration,ABNHEIM LAND EXPLORATION,Abnheim Land Exploration
341501,1909,"ABOMP£H SYNDICATE, LIMITED.",Abompeh Syndicate Limited,ABOMP SYNDICATE LIMITED,Abompeh Syndicate Limited
1116356,1923,"ABOMPOSU MINING SYND., LTD.",Abomposu Mining Syndicate Limited,ABOMPOSU MINING SYNDICATE LIMITED,Abomposu Mining Syndicate Limited
761903,1916,"ABosso GOLD MINING COMPANY, LIMITED. Directors Qualification, £100 .",Abosso Gold Mining Company Limited,ABOS GOLD MINING COMPANY LIMITED,Abosso Gold Mining Company Limited
244976,1903,"ABOSSOO DEEP, LIMITED.",Abossoo Deep Limited,ABOSSOO DEEP LIMITED,Abossoo Deep Limited
991565,1920,ABOU LAKE MINING CO-. LTD.,Abou Lake Mining Limited,ABOU LAKE MINING LIMITED,Abou Lake Mining Limited
160390,1894,"ABRAM COAL COMPANY, LIMITED.",Abram Coal Company Umttedt Achictla,ABRAM COAL COMPANY LIMITED,Abram Coal Company Umttedt Achictla
285206,1908,ABRON COTE D lVOIRE GOLD MINING CO.. LTD.,Abron Cote Lvoire Gold Mining,ABRON COTE LVOIRE GOLD MINING,Abron Cote Lvoire Gold Mining
647757,1914,"ABU TIN COMPANY, LIMITED.",Abu Tin Company Lllviited,ABU TIN COMPANY LIMITED,Abu Tin Company Limited
903265,1918,"ABU TIN CO., LTD.",Abu Tin Limited,ABU TIN LIMITED,Abu Tin Company Limited
1361,1887,ABUBA ISLAND GOLD,Abuba Island Gold,ABUBA ISLAND GOLD,Abuba Island Gold
421430,1910,"ABUNDANCIA MCEOXMIPCAONY , MLIMINITINEDG. AND MILLING",Abundancia Mexico Mining And Milling,ABUNDANCIA MCEOXMIPCAONY MLIMINITINEDG AND MILLING,Abundancia Mexico Mining And Milling
1074369,1922,", ABYSSfNIAN DEVEDLOFt MENT SYND.. LTD. .",Abyssinian Development Syndicate Limited,ABYSSFNIAN DEVEDLOFF MENT SYNDICATE LIMITED,Abyssinian Development Syndicate Limited
605542,1913,"ACASTER SYNDICATE, LIMITED. Oflioes li , Esstcheap, 15.0. Tllls company was registered May 8th, 1912, to adopt an agreement with the",Acaster Syndicate Limited,ACASTER SYNDICATE LIMITED,Acaster Syndicate Limited
250994,1903,ACCESSION TRUST. LIMITED.,Accession Trust Limited,ACCESSION TRUST LIMITED,Accession Trust Limited
245009,1903,"ACCRA AND GENERAL TRUST, LIMITED.",Accra And General Trust Limited,ACCRA AND GENERAL TRUST LIMITED,Accra And General Trust Limited
421437,1910,"ACCRA aTO GE NERAL TWu ST, LI M fTEDT Managers George H. K. Bone and Charles Ronaldson.",Accra Ato Neral Twu Atedt,ACCRA ATO NERAL TWU ATEDT,Accra Ato Neral Twu Atedt
245017,1903,"ACCRA CONSOLIDATED CORPORATION, LIMITED.",Accra Consolidated Corporation Limited,ACCRA CONSOLIDATED CORPORATION LIMITED,Accra Consolidated Corporation Limited
713335,1915,"ACCRA GOLD AND RUBBER E si ATEs, LIMITED.",Accra Gold And Rubber Estates,ACCRA GOLD AND RUBBER ATES,Accra Gold And Rubber Estates
251004,1903,"ACHDDU COLLIERY COMPANY, LIMITED.",Achddu Colliery Company Limited,ACHDDU COLLIERY COMPANY LIMITED,Achddu Colliery Company Limited
545224,1912,"Directors P. W. ACHICTLA MjN ES COM PANY. Henry, PJr.ni&nt. | H. H. Durand, Viet-Prtiident. | E. O. Holter. Managers Mines M. Ortiz. | H. A. J. Wilkens. Management Company, M, Wall 8treet, New York City, U.S.A., Secretary and and 28 and 29, St. Swithin B Lane, London, E.G. This Offices H. S. Leonar i, 01, Wall Street, New York City, U.S.A. company is organised nnder the laws of the State of Maine, O.S.A., and owns all the capital stock of the Suriana Mining and Smelting Co., which owns the Suriana Mine and Smelter, near Aohotla District of Aldama, State of Guerrero, Mexico.",Achictla Com Pany Pjr Adargas,ACHICTLA COM PANY PJR ADARGAS,Achotla Mines Company
160411,1894,"ACHILLES GOLDFIELDS, LIMITED.",Achilles Goldfields Limited,ACHILLES GOLDFIELDS LIMITED,Achilles Goldfields Limited
674759,1914,"ACHOTLA V V MINES CODMPAANY. Directors P. W. Henry, President.",Achotla Mines Company,ACHOTLA MINES CODMPAANY,Achotla Mines Company
365020,1909,"ACKLINGTOhT COAL COMPANY, LIM 1TED. Directors -T. Knott, Chairman ; R. Lishman ; J. J. C. Allison.",Acklingtoht Coal Company Lim Ted,ACKLINGTOHT COAL COMPANY LIM TED,Acklington Coal Company Limited
251013,1903,ACKLINGTON COAL COMPANY. LIMITED.,Acklington Coal Company Limited,ACKLINGTON COAL COMPANY LIMITED,Acklington Coal Company Limited
337551,1909,ACKNOWLEDGED LEADERS,Acknowledged Leaders The Design And,ACKNOWLEDGED LEADERS THE DESIGN AND,Acknowledged Leaders The Design And
308559,1908,"ACKWORTH COAL SYNDICATE. LIMITED. Directors Qualification, £50 . V. B. D. Cooper. | C. E. Featherstonhaugh. | H. B. Petre. Secretary and Offices J. B. Home, 11, Ironmonger Lane, E.C.",Ackworth Coal Syndicate Limited,ACKWORTH COAL SYNDICATE LIMITED,Ackworth Coal Syndicate Limited
80717,1889,ACME AND ROYAL GOLD MINING COMPANY.,Acme And Royal Prospecting Syndicate,ACME AND ROYAL GOLD MINING,Acme And Royal Prospecting Syndicate
831390,1917,"ACME MINES, LIMITED. Registered January 30, 1906 see vol. or 1914 . On October 24, 1916, the company was dissolved.",Acme Mines Limited Adjutqr Syndicate,ACME MINES LIMITED ADJUTQR SYNDICATE,Acme Mines Limited Adjutqr Syndicate
991602,1920,"ACOMB COAL 00., LTD.",Acomb Coal Limited,ACOMB COAL LIMITED,Acomb Coal Limited
518628,1912,"ACORN GOLD MINES. LIMITED. Directors, Qualification £100 .",Acorn Gold Mines Limited,ACORN GOLD MINES LIMITED,Acorn Gold Mines Limited
531231,1912,ACQUIRED BY THE,Acquired The Meyer Charlton Gold,ACQUIRED THE MEYER CHARLTON GOLD,Na
80722,1889,"ACTON S SWAZILAND CONCESSION, LIMITED.",Acton Swaziland Concession Limited,ACTON SWAZILAND CONCESSION LIMITED,Acton Swaziland Concession Limited
80760,1889,"ADA MAY GOLD MINING COMPANY, LIMITED.",Ada May Gold Mining Company,ADA MAY GOLD MINING COMPANY,Ada May Gold Mining Company
1074392,1922,ADAAMAINSU ALLUVIAL GOLD,Adaamainsu Alluvial Gold,ADAAMAINSU ALLUVIAL GOLD,Adaamainsu Alluvial Gold
285231,1908,ADAMANSU SYNDICATE. LIMITED,Adamansu Syndicate Limited,ADAMANSU SYNDICATE LIMITED,Adamansu Syndicate Limited
1,1887,"ADAMANT DIAMOND MINING COMPANY,",Adamant Diamond Mining Company Limited,ADAMANT DIAMOND MINING COMPANY,Adamant Diamond Mining Company Limited
245058,1903,"ADAMS ASHANTI EXPLORATION SYNDICATE,",Adams Ashanti Exploration Syndicate,ADAMS ASHANTI EXPLORATION SYNDICATE,Adams Ashanti Exploration Syndicate
251023,1903,ADAMSI INVESTMENT SYNDICATE. LIMITED.,Adansi Consolidated Mines Limited,ADAMSI INVESTMENT SYNDICATE LIMITED,Adansi Consolidated Mines Limited
674793,1914,"ADARGAS MINING COM E ANY, LIMITED.",Adargas Mining Company Limited Miscellaneous,ADARGAS MINING COM ANY LIMITED,Adargas Mining Company Limited Miscellaneous
189796,1895,ADELAIDE COOLGARDIE GOLD MINING,Adelaide Coolgardie Gold Mining Corporation,ADELAIDE COOLGARDIE GOLD MINING CORPORATION,Adelaide Coolgardie Gold Mining Corporation
51984,1888,"ADELAIDE GOLD MINING COMPANY, LIMITED.",Adelaide Gold Mining Company Limited,ADELAIDE GOLD MINING COMPANY LIMITED,Adelaide Gold Mining Company Limited
251039,1903,ADELAIDE EAR meg. LIMITED.,Adelaide Star Mines Limited,ADELAIDE EAR LIMITED,Adelaide Star Mines Limited
332034,1909,"ADELINE MINES, LIMITED.",Adeline Mines Limited,ADELINE MINES LIMITED,Adeline Mines Limited
245090,1903,"ADJAH BIPPO DEEP, LIMITED.",Adjah Bippo Deep Limited,ADJAH BIPPO DEEP LIMITED,Adjah Bippo Deep Limited
365066,1909,"ADJUTOR SYNDICATeV LlrVMTED. Secretary and Offices C. Nomioo, 101, Leadonhall Street, B.C.",Adjutor Syndicate Limited,ADJUTOR SYNDICATEV LLRVMTED,Adjutor Syndicate Limited
245110,1903,"ADLAM S WEST AFRICAN SYNDICATE, LIMITED.",Adlam West African Syndicate Limited,ADLAM WEST AFRICAN SYNDICATE LIMITED,Adlam West African Syndicate Limited
289853,1908,ADOLF BLEICHERT,Adolf Bleichert Wire Ropeways,ADOLF BLEICHERT WIRE ROPEWAYS,Adolf Bleichert Wire Ropeways
245126,1903,"ADRAR SYNDICATE, LIMITED.",Adrar Syndicate Limited,ADRAR SYNDICATE LIMITED,Adrar Syndicate Limited
316668,1908,are issued and fully paid. No accounts received. TsTrem ADU RA MINING COMPANyTT-I m itedT,Adu Mining Companytt,ADU MINING COMPANYTT,Adu Mining Companytt
285268,1908,"ADULESSA SYNDICATE, LIMITED.",Adulessa Syndicate Limited,ADULESSA SYNDICATE LIMITED,Adulessa Syndicate Limited
285276,1908,ADVENTURERS ASHANTI AND WASSAU . LIMITED.,Adventurers Ashanti And Wassau Limited,ADVENTURERS ASHANTI AND WASSAU LIMITED,Adventurers Ashanti And Wassau Limited
93516,1891,"ADVENTURERS OF MEXICO, LIMITED.",Adventurers mexico Limited,ADVENTURERS MEXICO LIMITED,Adventurers Ashanti And Wassau Limited
190380,1895,AETDACABA BOLIVIA SILVEB,Aetdacaba Bolivia Silveb,AETDACABA BOLIVIA SILVEB,Aetdacaba Bolivia Silveb
94567,1891,AETJBA ISLAND GOLD,Aetjba Island Gold,AETJBA ISLAND GOLD,Aetjba Island Gold
365075,1909,"AFFA SYNDICATE, LIMITED.",Affa Syndicate Limited,AFFA SYNDICATE LIMITED,Affa Syndicate Limited
1032814,1921,"AFFOH DEVELOPMENT SYND., LTD.",Affoh Development Syndicate Limited,AFFOH DEVELOPMENT SYNDICATE LIMITED,Affoh Development Syndicate Limited
458010,1911,"AFFOH GOLD MINING SYNDICATE, LIMITED.",Affoh Gold Mining Syndicate Limited,AFFOH GOLD MINING SYNDICATE LIMITED,Affoh Gold Mining Syndicate Limited
245178,1903,"AFIENOU GOLD MNES, LIMITED.",Afienou Gold Mnes Limited,AFIENOU GOLD MNES LIMITED,Afienou Gold Mines Limited
1117379,1923,"do , 1923. 19 AFMoEr RICAN SMELTING half-year ended June 30, 1922, the profit and loss credit balance was",Afmoer Rican Smelting,AFMOER RICAN SMELTING,Afmoer Rican Smelting
365081,1909,"AFON COLLIERIES. LIMITED. Directors P. C. Mullens. | A. L. Owen. | C. H. Jenkins. Managing. Secretary and Offices C. H. Jenkins, 8, Crown Street, Port Talbot. This company was registered March 4th, 1SJ08, to acquire and work collieries in",Afon Collieries Limited,AFON COLLIERIES LIMITED,Afon Collieries Limited
251073,1903,AFORTUNADA COPPER MINES. LIMITED.,Afortunada Copper Mines Limited,AFORTUNADA COPPER MINES LIMITED,Afortunada Copper Mines Limited
1032820,1921,"AFRIC CORPN., LTD.",Afric Corpn Limited,AFRIC CORPN LIMITED,Afric Corporation Limited
285287,1908,"AFRIC SYNDICATE, LIMITED.",Africa Acquisition Syndicate,AFRIC SYNDICATE LIMITED,Africa Acquisition Syndicate
285695,1908,"AFRlCATTMINING TRUST, LIMITED. Directors Qualification, 400 ordinary snares £100 . Edwin Wilding, Chairman. | Henry N. Stevens.",Africa mining Trust Limited,AFRLCATTMINING TRUST LIMITED,Africa Mining Trust Limited
298306,1908,"lyg ; lowest, f ; 1907 : highest, 1 : lowest, f. Latest price. T, T 3. N EW AFRICA NSY NEDXICFATLE, ATlONrA N D M INING LIMITED.",Africa Nsy Nedxicfatle Atlonla Ining,AFRICA NSY NEDXICFATLE ATLONLA INING,Africa Nsy Nedxicfatle Atlonla Ining
647793,1914,"AFRICA N0. 1 PROMOTIONS, LIMITED.",Africa Promotions Limited,AFRICA PROMOTIONS LIMITED,Africa Promotions Limited
341583,1909,"AFRICA TRUST, LIMITED. Directors Qualification. £500 .",Africa Trust Limited,AFRICA TRUST LIMITED,Africa Trust Limited
991617,1920,"AFRICAN ADVENTURERS, LTD. Directors F. Airris; H. E. Evans. Secretary and Ofllces F. Airris. 62, London Wall, E.C.",African Adventurers Limited Flo,AFRICAN ADVENTURERS LIMITED,African Adventurers Limited Flo
211433,1895,"AFRICAN ALLUVIAL GOLD MINES, LIMITED.",African Alluvial Gold Mines Limited,AFRICAN ALLUVIAL GOLD MINES LIMITED,African Alluvial Gold Mines Limited
605604,1913,"AFRICAN AND AUSgTRALlAN COMPANY. LIMITED. J. Directors Qualification, 1,000 shares £100 . B. Palmer, Chairman. I E. A. Foster. l E. Pope.",African And Australian Company Limited,AFRICAN AND AUSGTRALGAN COMPANY LIMITED,African And Australian Company Limited
545287,1912,AFRICAN AND AUSTRALIAN,African And Eastern Concesstonst Limited,AFRICAN AND AUSTRALIAN COMPANY LIMITED,African And Eastern Concesstonst Limited
518681,1912,AFBICAN AND EUROPEAN INVEBTMENT,African And European Investment,AFBICAN AND EUROPEAN INVEBTMENT,African And European Investment
903364,1918,AFRICAN AND EUROPEAN INVES I MENT,African And European Investment Limited,AFRICAN AND EUROPEAN INVES MENT,African And European Investment Limited
285325,1908,AFRICAN AND COLONIAL,African And General Exploration Limited,AFRICAN AND GENERAL EXPLORATION LIMITED,African And General Exploration Limited
458088,1911,AFRTCAN ASBESTOS Y TCATEri-l M ITED7,African Asbestos Tcateri Ited,AFRTCAN ASBESTOS TCATERI ITED,African Asbestos Tcateri Limited
148999,1893,"AFRICAN BORING SYNDICATE, LIMITED.",African Boring Syndicate Limited,AFRICAN BORING SYNDICATE LIMITED,African Boring Syndicate Limited
308607,1908,AFBIOAN BRITISH COLUMBIA CORFORATION,African British Columbia Corporation,AFBIOAN BRITISH COLUMBIA CORFORATION AGGER,African British Columbia Corporation
518744,1912,APRiCAX COMPANIES. 189,African City Fkopehties,APRICAX COMPANIES AFBICAN CITY FKOPEHTIES,African City Fkopehties
396992,1910,"AFKICAN CITY PROPEHTIES. AuditorsS ecTruertqauraynd,anYdounps & Co. | Bankers Parr s Bank, Limited. Offices Charles Forbes, 0, Old Jewry, K.C.",African City Properties Trust Limited,AFKICAN CITY PROPEHTIES,African City Properties Trust Limited
397027,1910,"AFRICAN CLAIM AND LAN D CO M PAN Y, LIMITED.",African Claim And Land Limited,AFRICAN CLAIM AND LAN PAN,African Claim And Land Limited
211497,1895,"AFRICAN COAL AND EXPLORATION COMPANY,",African Coal And Exploration Company,AFRICAN COAL AND EXPLORATION COMPANY,African Coal And Exploration Company
285078,1908,AFRICAN COHPAMES. 171,African Colonies Company Limited,AFRICAN COHPAMES ABBONTIAKOON BLOCK,African Colonies Company Limited
292675,1908,AFRICAN COMPANIEB. 313,African Concessions Syndicate Limited,AFRICAN COMPANIEB FEANK SMITH DIAMOND,African Concessions Syndicate Limited
80779,1889,"AFRICAN CONCESSIONS TRUST, LIMITED.",African Consolidated Investment Limited,AFRICAN CONCESSIONS TRUST LIMITED,African Consolidated Investment Limited
518790,1912,"AFRICAN CONSOLIDATED INVESTMENT CO., LTD.",African Consolidationisyndicate Limited Themepewxfqf African,AFRICAN CONSOLIDATED INVESTMENT LIMITED,African Consolidation Syndicate Limited Themepewxfqf African
