"","id","role","name","year","text","loc","lon","lat","company"
"11",341318,"managers","max francke william adye",1909,"Paris Sub-Manager M, Johannesburg Tourret. Telegrams : Goerzeco, Paris. Managers Max Francke and William Adye.","paris",2.352222,48.85661,"Goerz And Company Limited"
"12",344647,"managers","at bulawayo mashonaland agency",1909,"Managers at Bulawayo Mashonaland Agency, Ltd. | Solicitors Lowless 4 Co.","london",-0.1277583,51.50735,"Bulawayo Syndicate Limited"
"13",399576,"managers","at bulawayo mashonaland agency",1910,"Directors Qualification, 500 shares . A. R. Stephenson. | Thomas Honey. | Col. 8ir Aubone Fife. Managers at Bulawayo Mashonaland Agency, Ltd. | Solicitors Lowless Co. Bankers London Joint 8tock Bank, Ltd. | Auditors Chatteris, Nichols & Co. Secretary and Offices William Milne, Dashwood House, E.C. Telejrrams: Versifier, London. This company was registered November 18th, 1893, and acquired various properties in Rhodesia, including a grant of 100,000 acres in January, 1894. from tie British South Africa Co. In 1895 the company purchased for 39,000 fullypaid shares the undertakings of the Copenhagen Mashonaland Co., Ltd., the Northumberland Mining Syndicate, Ltd., and the De Beers Prospecting Syndicate. The consulting engineers, R. Williams & Co., were entitled to 10 per cent, of the company s profits, but this right has been extinguished by an allotment of 12,250 fally-paid shares. In 1898 the undertaking of the Selukwe Consolidated, Ltd. M oil. for 1900 , was purchased for £54,000 in fully-paid shares. Properties at October 31st, 1909 : 387,339 acres of freehold land in Rhodesia, three townstands in Bulawayo, and four in Victoria. Mashonaland ; also various shares and debentures. The authorised capital is £200,000 see below , in 200,000 shares of £1 each ; 194,051 shares are issued and fully paid. The capital, originally £12,000, was increased in February, 1894, to £40,000 ; in August, 1894, to £50,000 ; in April, 1895, to £150,000 ; a id in September, 1898, to present amount. The capital is be reduced to £100,000 in 10s. shares, by writing 10s. off each share. A bonus dividend of 25 per cent, was paid in November, 1895, for the period ending October 31st, 1895. The accounts for year ended October 31st, 1909, submitted December 20th, 1909, showed a profit of £240, reducing debit brought forward to £6,651 ; cash £12.422, debtor £2,029, investments £29,032 ; creditors £46 ; property account £143,180 owing to depreciation in share values and claims abandoned, the value was estimated at £51,442 . Transfer form, common; fee, 2g. 6d. The 26th April, 1899, was appointed ettling day in shares Nos. 1 to 189,603; August 30th, 1899, in Nos. 191,768 to 192,767 and 189,604 to 189,989 ; and January 25th, 1900, in Nos. 189,990 to 190,028 and 192,768 to 195,767. Prices, 1906 : highest, i ; lowest, i ; 1907 : highest, 6d. -, lowest, 2s. 3d. ; 1908 : highest, 5s. 3d. ; lowest, 2s. 6d. ; 1909 : highest, lowest, 3s. 3d. Latest price, 5s., 6s. BULAWAYO WATERWORKS COMPANY. LIMITED. Trustees for Debenture-Holders Mercantile Investment and General Trust Co., Ltd. 216 . BTJIiAWAYO WATERWORKS-eontinued. Directors Qualification, 260 shares . Col. Et.-Hon. A. R. M. Loekwood, C.V.O., M.P. I Lieut.-Col. A. W. Jarvis, C.M.G., M.V.O. P. D. Tuckett. I Sir J. C. Willnughby, Bart. Resident Engineer R. L. O. Psttle, Bulawayo. Managers in Bulawayo Willouphby Consolidated Co., Ltd. Solicitors Ashnrnt, Morri, Crisp t Co. | Auditors Fuller. Wise, Kirby ft Fisher. Bankers National Bank of Scotland. Ltd. ; standard Bank of Sou h Afrca. Ltd. Secretary and Offices G. R. Saunders, 5, London Wall Buildings, E.C.","rhodesia",-97.21348,32.82943,"Bulawayo Syndicate Limited Bulawayo Waterworks"
"14",461018,"managers","at bulawayo mashonaland agency",1911,"Managers at Bulawayo Mashonaland Agency, Ltd. I Solicitors lawless & Co.","london",-0.1277583,51.5073509,"Bulawayo Market Anct Offices Limited"
"15",521797,"managers","at bulawayo mashonaland agency",1912,"Directors Qualification, 500 shares . A. R. Stephenson. | Thomas Honey. | Col. Sir Aubone Fife. Managers at Bulawayo Mashonaland Agency, Ltd. | Solicitors Lowlcss & Co.","london",-0.1277583,51.5073509,"Bulawayo Syndicate Limited"
"16",577654,"managers","at bulawayo mashonnland agency",1913,"Col. Sir A. File. Managers at Bulawayo Mashonnland Agency, Ltd.","london",-0.1277583,51.5073509,"Bulawayo Syndicate Limited Bulawayo Waterworks"
"17",720048,"managers","at bulawayo mashonaland agency",1915,"T. Honey. Managers at Bulawayo Mashonaland Agency, Ltd.","london",-0.1277583,51.5073509,"Bulawayo Syndicate Limited"
"18",771420,"managers","at bulawayomashonaland agency",1916,"A. R. Stephenson, Chairman. | J. W. Davie. | T. Honey. Managers at Bulawayo-Mashonaland Agency, Ltd. | Solicitors Lowless & Co. Bankers London Joint Stock Bank, Ltd. | Auditors Chatteris, Secretary Nichols & Co. and OTeffleicgerasn W. Milne, 57, Gracechurch Street, E.C. s : Versifier, London.","london",-0.1277583,51.5073509,"Bulawayo And General Exploration"
"19",872772,"managers","at bulawayomashonaland agency",1917,"Managers at Bulawayo-Mashonaland Agency, Bankers London Joint Stock Bank, Ltd. Ltd... Solicitors-Lowless & Co. Secretary | Auditors Chatteris, Nichols & Co. and OTeffliecgersa msW: . VMeirlnsiefi,er5,7, Gracechurch Street, E.C. London.","london",-0.1277583,51.50735,"New Bulawayo Syndicate Limited"
"20",934113,"managers","at bulawayo maslionaland agency",1918,"N EW BU LUWAYO SYN DICATE. LTD. Directors Qualification, 500 shares . A. R. Stephenson, Chairman. I J. W. Davie. T. Honey. Managers at Bulawayo Maslionaland Agency, Ltd. I Solioitors Lowless & Co.","london",-0.1277583,51.5073509,"New British Transvaal Mines Limited"
"21",975941,"managers","at bulaway mashonaland agency",1919,"Managers at Bulawa.y0 Mashonaland Agency, Ltd.","london",-0.1277583,51.5073509,"New Bulawayo Syndicate Limited"
"22",1015955,"managers","av bulawayo mashonaland agency",1920,"Directors Qualification, 500 shares . A. R. Stephenson, Chairman. I .1. W. Davis. I 1 . Honey. Managers av Bulawayo Mashonaland Agency, Ltd. Secretary and Ofllces W. Milne, 57, Gracechurch Street, E.C. 3.","london",-0.1277583,51.50735,"New Bulawayo Syndicate Limited"
"23",1057642,"managers","at bulawayo mashonaland agency",1921,". Directors Qualification. 500 shares . A. R. Stephenson, Chairman. .1. W. Davie. | T. Honey. Managers at Bulawayo Mashonaland Agency, Ltd. Secretary and. Oflices W. Milne, 57, Gracechurch Street, E.C. 3.","london",-0.1277583,51.50735,"New Bulawayo Syndicate Limited"
"24",698053,"managers","canadian agency",1914,"Managers Canadian Agency, Ltd., 6, Princes Street, 15.0.","london",-0.1277583,51.5073509,"Natomas Syndicate Limited"
"25",386068,"managers","in mexico mexican agency",1909,"General Managers in Mexico Mexican Agency, Ltd., Mexico City.","mexico",-102.5528,23.6345,"Tetela Mining Company Limited"
"26",287233,"managers","mashonaland agency",1908,"Transfer form, common ; fee, 2s. 6d. Latest price, |J. BEATRICE RH ODE SlAf cOMPANY. LIMITED. Directors Qiialittcation, £200 . H. L. Stokes, Chairman. | H. WiUon Fox. I Leigh Hoskyns. | W. Rhodes. I Karl of Chesterfield. Local Managers Mashonaland Agency, Ltd., Box 227, Bulawayo, and Salisbury, Rhodesia.","salisbury",-75.59937,38.36067,"Beatrice Ode Company Limited"
"27",450344,"managers","port pirie agentj",1911,"General Manager V. P. Stanley Low. Broken Hill, New South Wales. Mine Managers Port Pirie AgentJ . N. F. Armstrong BrokenUill . H. A. Vaudeau Tamania . Fred. Grey. | Sydney Agent B. N. Kirk, O Connell Street. Secretary and Head Offices John Brandon, . 11,Queen Street, Melbourne. London Secretary and Offices Edwin Habben, Palmerston House, E.C.","broken",-95.7813885,36.0628961,"Broken Hill Proprietary Block Limited"
"28",1062005,"engineers","and ahodesian agents",1921,"A Jccimts lssued to shareholders only. , PLANET ARCTURUS .uOLD MINES, LTD. Directors Qualification, except fiI i-t, £100 . J. C. Prinsen, Chairman, I W. F. r orbes. | J. 1 . Bedhcrough. Local Direct its in Rhodesia J. G. Mu- d -nald,.O.B.E. ; Capt. L. Ludlow. Consulting Engineers and Ahodesian Agents","rhodesia",-97.21348,32.82943,"Planet Arcturus Gold Mines Limited"
"29",1145290,"engineers","and rhodesian agents",1923,"PLANET ARCTURUS GOLD MLltlogs. LTD. Dlrectors Qualification, except first, J. C. Prinsep, Chairman, I W. F. Forbes. I J. 1 . Bedborough. Local Directors in Rhodesia J. G. Mscdonald, 0.8.111. 3 L. Ludlow. Consulting Engineers and Rhodesian Agents","rhodesia",-97.21348,32.82943,"Planet Arcturus Gold Mines Limited"
"30",751593,"engineers","and agentsrhodesia",1915,"Mine Manager M. Groves. Consulting Engineers and Agents in Rhodesia:","rhodesia",-97.2134822,32.8294337,"Selukwe Columbia Gold Mine Limited"
"31",768022,"engineers","and agentsrhodesia",1916,"stock are quoted in the Official List. Latest price, pref., 10 ; debs., 97. BELL REEF DEVELOPMENT COMPANY, LIMITED. Directors Qualification £100 . Major H. L. Sante, Chairman. | W. F. Andrewes. J. R. Mason. Consulting Engineers and Agents in Rhodesia.","rhodesia",-97.2134822,32.8294337,"Bell Reef Development Company Limited"
"32",821931,"engineers","and agentsrhodesia",1916,"Consulting Engineers and Agents in Rhodesia","rhodesia",-97.2134822,32.8294337,"Thistle Etna Gold Mines Limited"
"33",837437,"engineers","and agentsrhodesia",1917,"Mason. Consult ng Engineers and Agents in Rhodesia.","rhodesia",-97.2134822,32.8294337,"Bell Reef Development Company Limited"
"34",943783,"engineers","an agentsrhodesia",1918,"Directors Qualification, £100 .-J. C. Prinse , Chairman; A. McLennan; H. L. Stokes. Consulting Engineers an Agents in Rhodesia:","rhodesia",-97.2134822,32.8294337,"Selukwe Columbia Gold Mine Limited"
"35",947842,"engineers","and agentsrhodesia",1918,"Co. Consulting Engineers and Agents in Rhodesia.","rhodesia",-97.2134822,32.8294337,"Thistle Etna Gold Mlnes Limited"
"36",983326,"engineers","an agentsrhodesia",1919,"SELUKWE COLUMBIA GOLD - MINE, LTD. Directors Qualiflcatmn, £100 . -J. C. Prinse , Chairman; A. McLennan; H. L. Stokes. Consulting Engineers an Agents in Rhodesia:","rhodesia",-97.2134822,32.8294337,"Selukwe Columbia Gold Mine Limited"
"37",433784,"engineers","s aiicn",1910,"Engineers S. Afiicn : Percy B. Byass, M.M.Inst. Canada , F.R.G.S., W. Australia.","canada",-106.3468,56.13037,"Hudsons Consolidatedi Limited"
"38",988372,"engineers","s alexhill",1919,"Lord E. W. Hamilton, Chairman. I A. B. Dealtrv. Consulting Engineers and Manager-s Alex.Hill & Stewart. 4, Broad St. Place, E.C. 2. Secretary and Ofioes-L. Howell, 4, Broad Street Place, 12.0. 2.","london",-0.1277583,51.5073509,"Van Roi Mining Company Limited"
"39",1029554,"engineers","and m anagers alexjim",1920,"Lord E. W. Hamilton, Chairman. I A. B. Dealtrv. Consulting Engineers and M anagers AlexJIm 8: Stewart. 4, Rrnad St. Place, E.C. 2. Secretary and Oflloes L. Rowell, 4, Broad Street Place, E.C. 2.","london",-0.1277583,51.50735,"Van Roi Mining Company Limited"
"40",441088,"engineers","urn alien",1910,"C. F. H. Leslie, Chairman. | Sir F.W. F. G.Frankland, Bart. | T. B. Reynolds. | A. J. H. 8mith. 8. Polak, in Smnia. L. Urqunart, in Hnuia. Consulting Engineers- Urn 4 alien, 82, Bearer St., New York, U.S.A. Bankers Brown, Shipley 4 Co. | Auditors Deloitte, Mender, Griffiths 4 Co. Solicitors Guedalla 4 Cross. Secretary and Offices- J. P. B. Weoster, S, Fenchnreh Strtet, B.C.","new york",-74.00597,40.71278,"Perm Corporation Limited"
"41",313139,"engineers","knox a allen",1908,"General Manager J. F. Allan. | Consulting Engineers -Knox A Allen. Smelting Works Manager -W. R. Van Liew. I Solicitors Broad A Co.","liverpool",-76.2177,43.10646,"Caucasian Manganese Syndicate Limited"
"42",376470,"engineers","knox a allen",1909,"S. J. Blumlein, Managing. Consulting Engineers Knox A Allen. 8S, Beaver Street, New York : W. A. Carlvle","new york",-74.00597,40.71278,"Kyshtim Corporation Limited"
"43",325938,"engineers","knox t allen",1908,"Consulting Engineers Knox ft Allen. | Solicitors Guednlla ft Cross. Secretary and Offices Jotu Owler, 5, Fenchurch Street, E.C.","london",-0.1277583,51.50735,"Penrikyber Navigation Colliery Limited"
"44",382614,"engineers","knox t allen",1909,"C. F. H.Leslie, Chairman. I 8ir F.W. F. O.Frankland, Bart. | T. B. Reynolds. I A. J. H. Smith. 8. Polak, in Rnttia. | L. Urqnhart, in Rttatia. Consulting Engineers Knox ft Allen, 62, Beaver tit.. New York, U.S.A.","new york",-74.00597,40.71278,"Pentwyn Quarries Company Limited"
"45",640567,"managers","in almeria",1913,"G. M. Ritchie. General Managers in Almeria-11 . Rods and E. Oughton.","london",-0.1277583,51.5073509,"Soria Company Limited"
"46",37450,"engineers","john ammann",1888,"Thomas H. Pill, M.E. | John Ammann, M.E.","london",-0.1277583,51.5073509,"Luz Mines Mexico Limited"
"47",68826,"engineers","john ammann",1889,"Thoma H. Pill, M.E. | John Ammann, M.E.","mexico",-102.552784,23.634501,"Gran Compana Gold And Silver"
"48",1070767,"engineers","a p anderson",1921,"Consulting Engineers A. P. Anderson; C. F. Moore. General Mans ers.","winslow",-110.6974,35.02419,"United Tin Syndicate Limited"
"49",1050038,"engineers","lush son secretary andomces",1921,"IDA H. MINING 00.. LTD. Directors Qualification, £100 . J. Waddington, D.L., J.P. I A. O. Cautley- | Sir G. 0. Benton, K.C.M.G, I St. J. Winne. Consulting Engineers Lush and son. Secretary and-Omces P. s. Fitzer, 95, London Wall, E.C. 2.","benton",-92.58683,34.56454,"Ida Gold Mining Company Limited"
"50",135773,"managers","m m bridson andrew",1893,"M. M. Bridson and Andrew Calcy. V. H. Turner. F. Roddicliffe aud W. H. Howe.","london",-0.1277583,51.5073509,"Great Lakes Mining Company Limited"
"51",167999,"managers","m m bridson andrew",1894,"M. M. Bridson and Andrew Cnlc.y. F. jj. Turner. F. Reddieliffe and W. H. Rowe.","wales",-3.783712,52.13066,"Great Lakes Mining Company Limited"
"52",348470,"managers","auditors annan",1909,"EGVPTIAN LAND AND OENERAL Managers Auditors Annan, Dexter 4 Co. | Local Offices Cairo. and Secretaries, and Offloes Mack & Palmer, 88-74, Palmerston House, E.C.","sydney",151.2093,-33.86882,"Egyptian Land And Oeneral"
"53",1099179,"managers","av bulawayo mashonaland anonov",1922,"1 Managers av Bulawayo Mashonaland Anonov, Ltd.","london",-0.1277583,51.50735,"New Bulawayo Syndicate Limited"
"54",755189,"engineers","and a antsrhodesia",1915,"Mine Manager A. W. Sticklcn, Etna Mine, Hartley Dism ct, Rhodesia. Auditors A. Goddard a Cu. Consulting Engineers and A ants in Rhodesia","rhodesia",-97.2134822,32.8294337,"Thistle Etna Gold Mines Limited"
"55",569130,"engineers","philip argall",1912,"C. F. Rowsell, Chairman. I F. W. Baker. | P. S. E. Drory. Consulting Engineers and Managers Philip Argall & Sons, Denver, U.S.A. Mine Superintendent Enck Johnson. Victor, Coin., U.S.A.","denver",-104.990251,39.7392358,"Strat Hearn Mining Jcompany Limited"
"56",707908,"managers","philip argall",1914,"F. 8. E. Drury. Consulting En nears and Managers Philip Argall","colorado",-105.7820674,39.5500507,"Stratton Independence Limited"
"57",820086,"engineers","philip argall",1916,"Drury. Consulting Engineers Philip Argall","denver",-104.990251,39.7392358,"Stratton Independence Limited"
"58",719273,"managers","british south arica on",1915,"Managers British South Africa On.","london",-0.1277583,51.5073509,"British South Africa Company"
"59",770419,"managers","british south arica co",1916,"10s. 4d.; debs., 96 . - -- ERITISH SOUTH AFRICA COMPANY S MINES DEVELOPMENT, CoMPANY, LIMITED, Managers British South Africa Co. London Solicitors Coward & Hawksley. Sons & Chance.","london",-0.1277583,51.5073509,"British South Africa Company"
"60",595554,"managers","in south arica ll",1913,"Gsnersl Managers in South Africa ll. Bum-on ,Yoxul r r and I-Ilc rmz Mmnnn.","london",-0.1277583,51.5073509,"Rand Mines Deep Limited"
"61",665581,"managers","in south arica h",1914,"General Managers in South Africa H. Slum-on Connl l r and chror. MACK-Ill . Assistant General Manager J. P. GIBBOI. London Manager Winn Snrr. Secretary Fauna Eamon.","london",-0.1277583,51.5073509,"Rand Collieries Limited"
"62",792801,"managers","in s arica c",1916,"C. F. Rowsell,CCohnasirumlatnin. g EnginCeoel.r Ri.nGrey, C.V.O., C.M.G. | G. Lewis. Managers in S. Africa C. E. Parsons. S. Africa-United Rhodesia Gold Fields, Ltd.","rhodesia",-97.2134822,32.8294337,"Jumbo Gold Mining Company Limited"
"63",909474,"managers","british south arica",1918,"Managers British South Africa. 00. Registered Oflices Bulawayo, Rhodesia.","rhodesia",-97.2134822,32.8294337,"British South Africa Company"
"64",958839,"managers","british south arica",1919,"Managers British South Africa 00. Registered Omces Bulawayo, Rhodesia. London Secretary and Ofl1ces A. R. Heatlicete, 2, London Wall Buildings, E.C. 2.","rhodesia",-97.2134822,32.8294337,"British South Africa Company"
"65",1038199,"managers","british south arica",1921,"Managers British South Africa 00","rhodesia",-97.21348,32.82943,"British South Africa Company"
"66",1079959,"managers","british south arica",1922,"Managers British South Africa 00.","rhodesia",-97.21348,32.82943,"British South Africa Company"
"67",1121633,"managers","british south arica",1923,"Managers British South Africa 00. Registered omces Bulawayo, Rhodesia. London Secretary and Omces A. R. Heaihccte, 2, London Wall Buildings, E. . 2.","rhodesia",-97.21348,32.82943,"British South Africa Company"
"68",763790,"managers","g south arica",1916,"Managers G. South Africa. R. Airth, in London; E. H. Read, in South Africa.","london",-0.1277583,51.5073509,"Anglo French Financialisl Mining Syndicate"
"69",532769,"engineers","in south arica",1912,"Directors Qualification, £260 . J. Weil, Chairman, | S.Weil. I Hon. C. J. Wbito. Consulting Engineers In South Africa : London & Rhodesiun Mining 4 Land Co., Ltd.","london",-0.1277583,51.5073509,"New Found Out Mines Limited"
"70",536068,"managers","in south arica",1912,"General Managers in South Africa","london",-0.1277583,51.5073509,"Robert Dickinson Sir Cha Fremantlk"
"71",1062874,"managers","in south arica",1921,"J Senior Gene: al Manager in South. Africa J . P. Gibson. Oim f e ne ral Managers in South A f rica : Noel Jennings, Jobn Jeffrey. James S. Shiel. Assistant General Managers in South Africa: G. F. Le Sueur, W. K. Robertson.","london",-0.1277583,51.50735,"Silboiie Stailiy Williai Bjuo Rfeu"
"72",1104958,"managers","in south arica",1922,"Joint l eneral. Managers in South Africa: John Jeffrey. James S. Shiei.","london",-0.1277583,51.50735,"South Africa Limited African Banking"
"73",1146025,"managers","in south arica",1923,"Joint eneml Managers in South Africa : John Jeffrey. James R. Shlel.","london",-0.1277583,51.50735,"Mining Industry South Africa Technical"
"74",305155,"managers","robert williams co arica",1908,"Thomas Honey. | Lord Arthur Butler. | Robert Williams, Managing. Managers and Engineers Robert Williams 4 Co. Manager in Africa John Q. Watson. Engineers Allan Gibb Head Engineer Thomas Bayne; F. E. Studt. , Mine Manager at Kansanshi J. H. Hayden. 1 Solicitors Ingle, Holmes, Sons row","sheffield",-1.470085,53.38113,"Tanganyika Concessions Limited"
"75",319031,"engineers","s arica",1908,"Col. W. H. Hand, Chairman. | K. Martin. | C. W. Grim wade, F.R.G.S. I Baron H. Von Pohl. Engineers S. Africa : Percy B. Byass, M.M.Inst. Canada , F.R.G.S. ; W. Australia:","canada",-106.3468,56.13037,"Hudsons Consolidatedi Limited"
"76",374899,"engineers","s arica",1909,"Col. W. H. Hand. Chairman. | K. Martin. | C. W. Grimwade, F.B.G.S. | Baron H. Engineers S. Africa: Percy B. Byass, M.M.Inst. Canada , F.R.G.S. ; W. Australia:","canada",-106.3468,56.13037,"Hudsons Consolidatedi Limited"
"77",494247,"engineers","s arica",1911,"E. Catnacho-Guitasoltl. 1 C. W. Grimwa.de, Managing. Engineers S. Africa: Percy B. Byass, M.M.Inst. Canada F.R.G.S., W. Australia.","canada",-106.346771,56.130366,"Hudson Consolidated Limited"
"78",532254,"managers","n a arnoldt co",1912,"Mine Managers N. A. Arnold .t Co., HaMsburr.","salisbury",-75.5993692,38.3606736,"Natta Banket Syndicate Limited"
"79",661880,"managers","n a arnold",1914,"Directors Qualification. 1.100 . W. FC.oCnrustuclbt,ingChaEirnmgainn.eer | F. R. Audrade. l A. W. Godwin. 1 . Mumford, Salisbury, Rhodesia. Mine Managers N. A. Arnold .1 00., Salisbury.","salisbury",-75.5993692,38.3606736,"Natta Banket Syndicate Limited"
"80",492391,"engineers","j s sic arthur",1911,"Dr. R. Jacksou. | T. Hannay. | W.B.Rankin. | W.Lindsay. Consulting Engineers J. S. Sic Arthur A . o., 74, York Street, Glasgow. Mine Manager C. C. Leavitt, Junr., Clovis, Fresno County, U.S.A. Solicitors Mac-Kay A Koyd. | Bankers Clydesdale Batk, Limited. Joint Secretaries and Offices W. Dunlop and C. D. R. Walker, C.A., 188, St. Vincent","glasgow",-4.251806,55.864237,"French South Westlmjinreds And Cotxlfields"
"81",620221,"engineers","john taylor ascns",1913,"R. Taylor. Consulting Engineers and Managers John Taylor ascns,","london",-0.1277583,51.5073509,"Gold Field Rhodesian Development Limited"
"82",777665,"superintendents","m assistant",1916,"Mining Superintendents M. Assistant: M. H. Sullivan.","montgomery",-86.3077368,32.3792233,"Consolidated Mines Selection Limited"
"83",294582,"managers","general trust finance association",1908,"Managers General Trust and Finance Association, Ltd., Box 2718, Johannesburg.","johannesburg",28.04731,-26.2041,"Hinterland Exploration Syndicate Limited"
"84",351119,"managers","general trust finance association",1909,"Managers General Trust and Finance Association, Ltd., Box 2718, Johannesburg. Auditors Percy Mason & Co. Secretary and Offices H. L. Bromhead, 15, Angel Court. E.C.","johannesburg",28.04731,-26.2041,"Holgatfontein Gold Farm Limited"
"85",45023,"engineers","rowland j atchorley",1888,"Dr. Rowland J. Atchorley, Ph.D., F.C.S. | John Waugh, C.E.,","rowland",-117.8848705,33.9819728,"Priest Transylvanian Hungary Gold Mines"
"86",344605,"managers","in rhodesia atkinhon k",1909,"F. W. Webb. i Cameron C. Cannell. I Chas. W. Westron. Managers in Rhodesia AtkinHon k Winslow, Bulawayo.","rhodesia",-97.21348,32.82943,"Bulawayo Estate And Trust Limited"
"87",1056766,"engineers","burch hershey awhite",1921,"Directors Qualification, 500 shares of debenture stock . F. B. Lawson, O.B.E., Chairman. A. N. Frewer. l E. T. McCarthy. J. 1 . Middlet n. J. H. Wenhnm. Consulting Engineers Burch. Hershey 8aWhite, Crocker Bldnz San Francisco, U.S.A.","lawson",-94.61742,37.07903,"Mountain Copper Company Limited"
"88",1033871,"managers","john aylor",1921,"Managers and Consultin Engineers John 1 aylor & Sons, 8, Queen St. Place, E20. 4. Secretary and O ees W. L. Bayley, 5 8c6. Queen Street Place, 15.0. 4.","queen street place",-75.70193,45.42005,"Anantapur Gold Field Limited"
"89",424601,"engineers","bainbr dge",1910,"lieut.-Gen. Sir R. Pole-Carew, K.C.B., C.V.O. Consulting Engineers- Bainbr dge, Seymour & Co., 352-356, Salisbury HouBe, E.C. Manager W. R Thomas, Tuckin mill, Camborne, Cornwall. | Bankers - Barclay & Co., Ld.","salisbury",-75.59937,38.36067,"Botallack Mining Company"
"90",499003,"engineers","bainbrid c",1911,"Consulting Engineers Bainbrid c, Seymour Ac Co.","london",-0.1277583,51.5073509,"Morales Exploration Companydmttedt"
"91",992312,"managers","c l baker w",1920,"General Managers C. L. Baker and W. M. Drury, Mexico; R. 1 . While, Chili. Corporate Ofices IS. Exchange Place. Jersey City, N.J., U.S.A.","mexico",-102.552784,23.634501,"Cwo Mwo Zmeon"
"92",1081854,"managers","in johannesburg f balemh",1922,"Managers in London F. Heim; P. Troquet; A. W. Rogers; J. L. Ridden . Managers in Johannesburg F. Balemh; E. G. Izod. Consulting Engineers H. F. Marriott, London; H. S.Martin, Representatives in and A. .1. Brett, South Africa. Paris Credit Mobilier Fraucais, 30-32, Rue Taitbout. Local Secretary and Oflioes A. J. Wright, Corner House, Johannesburg. Transvaal.","london",-0.1277583,51.50735,"Central Mining And Investment Corpn"
"93",872782,"engineers","and agentsonslow miller bankerslondon",1917,"Mrs. V. A. J. Clayton. | J. F. Crofton. | H. Ryan. Consulting Engineers and Agents-Onslow and Miller. Bankers-London and Provincial Bank, Ltd,","crofton",-76.68747,39.00178,"New Castle Gold Corporation Limited"
"94",433826,"engineers","w j barnett",1910,"L. Hoskyns. | L. Donnet. | L. Oury. Consulting Engineers W. J. Barnett ; L. dePritsbuer.","london",-0.1277583,51.50735,"Huelva Copper And Sulphur Mines"
"95",605661,"engineers","william j barnett",1913,"E. G. Rowden. Chairman. I Major A. M. Boisragon. | .T. H. Dormer. I H. Oliver. Consulting Engineers-William J. Barnett& Co. | Solicitors Arthur Vaosey & 00","winchester",-121.9510491,37.3183318,"Alaska Exploration Company Limited"
"96",375932,"engineers","malcolm barr",1909,"Engineers Malcolm Barr, B.A., A.R.8.M., Adv uoty, Sibertswold, Dover.","manchester",-2.242631,53.48076,"Kent Coal Concessions Ltd"
"97",949358,"managers","thomas barr",1918,"General Managers Thomas Barr &00.","bothwell street glasgo w",-4.2615926,55.8612993,"Udston Colliery Company Limited"
