Column,id,year,text,company,ciarfn
39,457890,1911,"ABERCORN EXTENSION SYN D IC ATE, LI M ITEDT Managers Consolidated Goldfields of South Africa, Ltd., 8, Old Jewry, B.C.",ABERCORN EXTENSION SYN ATE ITEDT,Abercorn Extension Syndicate Limited
40,518550,1912,"ABERCORN GOLD TRUST, LIMITED.",ABERCORN GOLD TRUST LIMITED,Abercorn Gold Trust Limited
41,211394,1895,"ABERCORN REEFS, LIMITED.",ABERCORN REEFS LIMITED,Abercorn Reefs Limited
42,396841,1910,"£20,000. in 20,000 shares of £J eaoh. ABERCORN SYNDICATE, LIMITED. Managers Consolidated Uoiddelds of South Africa. Ltd., 8, Old Jewry, E C. Secretary and Offices W. P. Andrewcs, 8, Old Jewry, B.C.",ABERCORN SYNDICATE LIMITED,Abercorn Syndicate Limited
43,903158,1918,"ABERCROMBIE COPPER MINES, LTD. -",ABERCROMBIE COPPER MINES LIMITED,Abercrombie Copper Mines Limited
44,545221,1912,"ABERCWMEIDDAW J3LATE QUARRY CO., LTD. W. Jones. Directors Qualification, £50 . Secretary D. Owen. | J. N. Roberts. I M. Thomas. This company was | Offices Aberewmeiddaw Slate Quarry, Corns, Merioneth. J. registered November J st, 1911, to adopt an agreement with Kev. Harris, the Ecclesiastical Commissioners and Elinor A. Vanghan to deal with slate quarries in Wales.",ABERCWMEIDDAW JBLATE QUARRY LIMITED ABERFOYLE,Abercwmeiddaw Jblate Quarry Limited Aberfoyle
45,250938,1903,"ABERDARE GRAIG COAL COMPANY, LIMITED.",ABERDARE GRAIG COAL COMPANY LIMITED,Aberdare Graig Coal Company Limited
46,160347,1894,"ABERDARE MERTHYR COLLIERIES COMPANY,",ABERDARE MERTHYR COLLIERIES COMPANY,Aberdare Merthyr Collieries Company
47,308525,1908,"£15,000 to present amount. The statutory report was dated November 1 1th, 1906. ABERDARE SYNDICATE, LIMITED. Directors C. J. Roberts i B. A. Woolf. Secretary and Offices A. J. Austin, 6, Abchurch Lane, B.C. This company was registered November 28tb, 1906, to acquire and deal in shores",ABERDARE SYNDICATE LIMITED,Aberdare Syndicate Limited
48,483768,1911,ABERDAUNANT LEAD COMPANY. LIMITED.,ABERDAUNANT LEAD COMPANY LIMITED,Aberdaunant Lead Company Limited
49,230713,1895,ABERDEEN EVENING- EXPRESS has a larger circulation than all other,ABERDEEN EVENING EXPRESS,Aberdeen Evening Express
50,457911,1911,"ABERFELDY MINING COMPANY, LIMITED. Direotors V. Nicolas. I W. A. Pittman.",ABERFELDY MINING COMPANY LIMITED,Aberfeldy Mining Company Limited
51,545222,1912,"The authorised capital is £3,000, in 300 shares of JE10 each. ABERFOYLE SLATE QJJARR.IES COMPANY, LIMI TED. W. Wingate GrDayir,eDct.Lo.r,s Qualification, 60 shares £600 BanCkhearirsma-nB.ank| E. J. Hill. I Albert Harvey. Auditor R. A. Murray, C.A., of Scotland. Secretary and Manager andGlasgow. I Glasgow Offices 11, West Regent Street. Offices J. Russell Lindsay, C.E., Aberfoyle by Stirling. This TelegramB : Lindsay, Aberfoylo. company was registered in Edinbnrgh August 10th, 1882, and is working Blate quarries at Aberfoyle, Scotland. The authorised capital is £20,000, in 2,000 shares of £10 each j all the shares are issued and fully paid. Dividends paid : For 1889-90, 6 per cent. ; 1890-1, 4 percent, j 1893-4, 4 per cent. ; 1894-5, 7 per cent. ; 1895-6, 10 per cent. 1896-7 to 1898-9, lc per cent. ; 1899-0, 12 per cent.; 1900-1 to 1902-3. 10 per cent.; 1903-4, 5 per cent.; 1904-5, 3 per cent., 1905-6, 2 per cent. ; nil since. The accounts for year ended September 30th, 1911, submitted in Glasgow November 15th, 1911, showed £935 debit balance carried forward ; cash £427, debtors £643, investments £1,626; creditors £286; reserve fund £6,000. Transfer form, common ; fee, 2s. 6d. ABERYSTWYTH SILVER LEAD MINES, LIMITED. F.H.Brooke | E. Booth, Directors Qua ification, £500 . Secretary and j F. C. Moorwor d. | E.Dutchman. | H. Brearloy. This company was Offices F. E. Warner, 7, East Parade, Sheffield. and regis.ered July 10th, 1909, to acquire and deal with a lead blende miniDg property, situate at Llanbadarnfawr, Cardiganshire. The con sideration was £10,600 in fully-piid shares. The authorised capital is £13,000, in 13,000 shares of £1 ca h ; 3,596 shares arc issued and fully paid. There are £500 part of £1,000 debentures.",ABERFOYLE SLATE QJJARR IES COMPANY,Aberfoyle Slate Quarrles Company Limited
52,58709,1889,"ABERGELE COPPER ORE COMPANY, LIMITED.",ABERGELE COPPER ORE COMPANY LIMITED,Abergele Copper Ore Company Limited
53,364998,1909,"ABERNANT ANTH RACITETCOLLI E Rl ES, LIMITEb7 Directors.",ABERNANT ANTH RACITETCOLLI LIMITEB,Abernant Anthracite Collieries Limited
54,605491,1913,"ABERNANT AN THRACITE COLLIERIES, LIMITED:",ABERNANT THRACITE COLLIERIES LIMITED,Abernant Thracite Collieries Limited
55,605494,1913,ABERPERGWM CO I..LIE R IEHS CQMPANY. LIMITED. Di otors.,ABERPERGWM LIE IEHS CQMPANY LIMITED,Aberpergwm Collieries Limited
56,421408,1910,"ABERYSTWYTH SILVER LEAD MINES, LIMITED.",ABERYSTWYTH SILVER LEAD MINES LIMITED,Aberystwyth Silver Lead Mines Limited
57,286719,1908,ABHANTI GOLDFIELDS CORPORATION,ABHANTI GOLDFIELDS CORPORATION,Abhanti Goldfields Corporation
58,398097,1910,"ABHAWTI GOLDFIELDS COBPOKATION 5s. ; December 18th, 1901, 5s. ; February 5th, 1903, 6s. ; August 31st, 1903, 5s. ;",ABHAWTI GOLDFIELDS COBPOKATION,Abhawti Goldfields Cobpokation
59,647689,1914,ABINSI SYNDICATE. LIMITED.,ABINSI SYNDICATE LIMITED,Abinsi Synwqftaie Limited
60,483793,1911,"i£, aBJ0yIjm 8LATB 1898-9, lc per cent. ; 1899-0, Q12UpAerBcBeTntE,S-contfiSedT s 1900-1 to 1902-3. 10 per cent. ; 1903-4, 6 per cent.; 1904-5, 3 per cent., 1905-6, 2J per cent. ; 1906-7, nil. The accounts for year ended September 30th, 1910, submitted in Glasgow November 9th, 1910, showed £305 debit balance carried forward ; cash £374, debtors £1,115, investments £2,126; creditors £334; reserve fund £6,000. Transfer form, common ; fee, 2s. 6d. ABERYSTWYTH SILVER LEAD MINES, LIMITED. F. H. Brooke. Directors Qualification, £500 . Secr|etaKr.yBoaotnhd. I F. 0. Moorwocd. | E. Dn chman. | H. Brearley. This Offices F. E. Warner, 7, East Para4e, Sheffield. company was registered July 10th, 1909, to acquire and deal with a lead and blend mining property, situate at Llanbadarnfawr, Cardiganshire. The con sideration was £10,600 in fully-paid shares. The authorised capital is £13,000, in 13,000 shares of £1 each ; 3,595 shares are issued and folly paid. There are £500 part of £1,000 debentures.",ABJ LATB ABERYSTWYTH SILVER LEAD,Abj Latb Aberystwyth Silver Lead
61,276271,1908,ABNHEIM S LAND EXPLORATION,ABNHEIM LAND EXPLORATION,Abnheim Land Exploration
62,341501,1909,"ABOMP£H SYNDICATE, LIMITED.",ABOMP SYNDICATE LIMITED,Abompeh Syndicate Limited
63,244919,1903,"ABOMPEH SYNDICATE, LIMITED.",ABOMPEH SYNDICATE LIMITED,Abompeh Syndicate Limited
64,1116356,1923,"ABOMPOSU MINING SYND., LTD.",ABOMPOSU MINING SYNDICATE LIMITED,Abomposu Mining Syndicate Limited
65,761903,1916,"ABosso GOLD MINING COMPANY, LIMITED. Directors Qualification, £100 .",ABOS GOLD MINING COMPANY LIMITED,Abosso Gold Mining Company Limited
66,831322,1917,"ABosso GoLR MINING COMPANY, LIMITED. irectors Qualification, £100 .",ABOS GOLR MINING COMPANY LIMITED,Abosso Gold Mining Company Limited
67,573322,1913,"ABOSSO 501.0 Mlniwg CQMPANY, LIMITED.",ABOSSO CQMPANY LIMITED,Abosso Gold Mining Company Limited
68,647752,1914,ABOSSO GOLD MINING,ABOSSO GOLD MINING,Abosso Gold Mining Company Limited
69,713293,1915,.ABOSSO GOLD MINING,ABOSSO GOLD MINING COMISANVYICVLVI IFETL,Abosso Gold Mining Company Limited
70,903178,1918,"ABOSSO GOLD MINING CO., LTD. Directors Qualification, £100 . T. F. Dalglish, Chairman. I M. Attenborough. l l . H. Bayldon. 1 F. H. Hamilton.",ABOSSO GOLD MINING LIMITED,Abosso Gold Mining Company Limited
71,1074333,1922,ABOSSO GOLD MINING,ABOSSO GOLD MINING LIMITED,Abosso Gold Mining Company Limited
72,457917,1911,"ABOSSO GO LD MINING COMPANY, LIMITED.",ABOSSO MINING COMPANY LIMITED,Abosso Gold Mining Company Limited
73,954101,1919,ABOSSODGOLD MINING CO.I LTD.,ABOSSODGOLD MINING LIMITED,Abosso Gold Mining Company Limited
74,244976,1903,"ABOSSOO DEEP, LIMITED.",ABOSSOO DEEP LIMITED,Abossoo Deep Limited
75,991565,1920,ABOU LAKE MINING CO-. LTD.,ABOU LAKE MINING LIMITED,Abou Lake Mining Limited
76,160390,1894,"ABRAM COAL COMPANY, LIMITED.",ABRAM COAL COMPANY LIMITED,Abram Coal Company Umttedt Achictla
77,285206,1908,ABRON COTE D lVOIRE GOLD MINING CO.. LTD.,ABRON COTE LVOIRE GOLD MINING,Abron Cote Lvoire Gold Mining
78,397714,1910,ABTGLO-SWAZI COMPAHT Y,ABTGLO SWAZI COMPAHT,Abtglo Swazi Compaht
79,647757,1914,"ABU TIN COMPANY, LIMITED.",ABU TIN COMPANY LIMITED,Abu Tin Company Lllviited
80,903265,1918,"ABU TIN CO., LTD.",ABU TIN LIMITED,Abu Tin Limited
81,1361,1887,ABUBA ISLAND GOLD,ABUBA ISLAND GOLD,Abuba Island Gold
82,421430,1910,"ABUNDANCIA MCEOXMIPCAONY , MLIMINITINEDG. AND MILLING",ABUNDANCIA MCEOXMIPCAONY MLIMINITINEDG AND MILLING,Abundancia Mceoxmipcaony Mliminitinedg And Milling
83,250989,1903,ABUNDANCIA. MEXICO MINING,ABUNDANCIA MEXICO MINING AND MILLING,Abundancia Mexico Mining And Milling
84,1074369,1922,", ABYSSfNIAN DEVEDLOFt MENT SYND.. LTD. .",ABYSSFNIAN DEVEDLOFF MENT SYNDICATE LIMITED,Abyssinian Development Syndicate Limited
85,991592,1920,ABYSSINIAN DEVELOPMENT SYNDH LTD.,ABYSSINIAN DEVELOPMENT SYNDH LIMITED,Abyssinian Development Syndicate Limited
86,1116407,1923,ABYSSlNlAN DEVEDLOE MENT SYN D-. LTD. or .,ABYSSLNLAN DEVEDLOE MENT SYN LIMITED,Abyssinian Development Syndicate Limited
87,605542,1913,"ACASTER SYNDICATE, LIMITED. Oflioes li , Esstcheap, 15.0. Tllls company was registered May 8th, 1912, to adopt an agreement with the",ACASTER SYNDICATE LIMITED,Acaster Syndicate Limited
88,250994,1903,ACCESSION TRUST. LIMITED.,ACCESSION TRUST LIMITED,Accession Trust Limited
89,245009,1903,"ACCRA AND GENERAL TRUST, LIMITED.",ACCRA AND GENERAL TRUST LIMITED,Accra And General Trust Limited
90,421437,1910,"ACCRA aTO GE NERAL TWu ST, LI M fTEDT Managers George H. K. Bone and Charles Ronaldson.",ACCRA ATO NERAL TWU ATEDT,Accra Ato Neral Twu Atedt
91,245017,1903,"ACCRA CONSOLIDATED CORPORATION, LIMITED.",ACCRA CONSOLIDATED CORPORATION LIMITED,Accra Consolidated Corporation Limited
92,713335,1915,"ACCRA GOLD AND RUBBER E si ATEs, LIMITED.",ACCRA GOLD AND RUBBER ATES,Accra Gold And Rubber Estates
93,251004,1903,"ACHDDU COLLIERY COMPANY, LIMITED.",ACHDDU COLLIERY COMPANY LIMITED,Achddu Colliery Company Limited
94,545224,1912,"Directors P. W. ACHICTLA MjN ES COM PANY. Henry, PJr.ni&nt. | H. H. Durand, Viet-Prtiident. | E. O. Holter. Managers Mines M. Ortiz. | H. A. J. Wilkens. Management Company, M, Wall 8treet, New York City, U.S.A., Secretary and and 28 and 29, St. Swithin B Lane, London, E.G. This Offices H. S. Leonar i, 01, Wall Street, New York City, U.S.A. company is organised nnder the laws of the State of Maine, O.S.A., and owns all the capital stock of the Suriana Mining and Smelting Co., which owns the Suriana Mine and Smelter, near Aohotla District of Aldama, State of Guerrero, Mexico.",ACHICTLA COM PANY PJR ADARGAS,Achictla Com Pany Pjr Adargas
95,160411,1894,"ACHILLES GOLDFIELDS, LIMITED.",ACHILLES GOLDFIELDS LIMITED,Achilles Goldfields Limited
96,674759,1914,"ACHOTLA V V MINES CODMPAANY. Directors P. W. Henry, President.",ACHOTLA MINES CODMPAANY,Achotla Mines Codmpaany
97,605545,1913,"ACHOTLAJZIN ES ,fiQiOM PANY.",ACHOTLAJZIN IQIOM PANY,Achotlajzin Iqiom Pany
98,365020,1909,"ACKLINGTOhT COAL COMPANY, LIM 1TED. Directors -T. Knott, Chairman ; R. Lishman ; J. J. C. Allison.",ACKLINGTOHT COAL COMPANY LIM TED,Acklingtoht Coal Company Lim Ted
99,251013,1903,ACKLINGTON COAL COMPANY. LIMITED.,ACKLINGTON COAL COMPANY LIMITED,Acklington Coal Company Limited
100,337551,1909,ACKNOWLEDGED LEADERS,ACKNOWLEDGED LEADERS THE DESIGN AND,Acknowledged Leaders The Design And
101,308559,1908,"ACKWORTH COAL SYNDICATE. LIMITED. Directors Qualification, £50 . V. B. D. Cooper. | C. E. Featherstonhaugh. | H. B. Petre. Secretary and Offices J. B. Home, 11, Ironmonger Lane, E.C.",ACKWORTH COAL SYNDICATE LIMITED,Ackworth Coal Syndicate Limited
102,80717,1889,ACME AND ROYAL GOLD MINING COMPANY.,ACME AND ROYAL GOLD MINING,Acme And Royal Prospecting Syndicate
103,831390,1917,"ACME MINES, LIMITED. Registered January 30, 1906 see vol. or 1914 . On October 24, 1916, the company was dissolved.",ACME MINES LIMITED ADJUTQR SYNDICATE,Acme Mines Limited Adjutqr Syndicate
104,991602,1920,"ACOMB COAL 00., LTD.",ACOMB COAL LIMITED,Acomb Coal Limited
105,484230,1911,AN ACON DA CO PPER Ml NlN G CO M PA NYT,ACON PPER NYT,Acon Pper Nyt
106,518628,1912,"ACORN GOLD MINES. LIMITED. Directors, Qualification £100 .",ACORN GOLD MINES LIMITED,Acorn Gold Mines Limited
107,531231,1912,ACQUIRED BY THE,ACQUIRED THE MEYER CHARLTON GOLD,Acquired The Meyer Charlton Gold
108,80722,1889,"ACTON S SWAZILAND CONCESSION, LIMITED.",ACTON SWAZILAND CONCESSION LIMITED,Acton Swaziland Concession Limited
109,80760,1889,"ADA MAY GOLD MINING COMPANY, LIMITED.",ADA MAY GOLD MINING COMPANY,Ada May Gold Mining Company
110,1074392,1922,ADAAMAINSU ALLUVIAL GOLD,ADAAMAINSU ALLUVIAL GOLD,Adaamainsu Alluvial Gold
111,1074390,1922,". . . .ADAAMANSU ALLUVIAL GOLD SYND., LTD. Directory-F. Secretary andH. Krakuo. I L. S. Levy. 1 M. Shepstoue, 1 .R G.S Ofliees F G. Sweating, 6, Broad Street Place, E.C. 2.",ADAAMANSU ALLUVIAL GOLD SYNDICATE LIMITED,Adaamainsu Alluvial Gold
112,285231,1908,ADAMANSU SYNDICATE. LIMITED,ADAMANSU SYNDICATE LIMITED,Adamansu Syndicate Limited
113,1,1887,"ADAMANT DIAMOND MINING COMPANY,",ADAMANT DIAMOND MINING COMPANY,Adamant Diamond Mining Company Limited
114,245058,1903,"ADAMS ASHANTI EXPLORATION SYNDICATE,",ADAMS ASHANTI EXPLORATION SYNDICATE,Adams Ashanti Exploration Syndicate
115,251023,1903,ADAMSI INVESTMENT SYNDICATE. LIMITED.,ADAMSI INVESTMENT SYNDICATE LIMITED,Adansi Consolidated Mines Limited
116,245069,1903,ADANSI CONCESSIONS syrgicifisf LIM IED.,ADANSI CONSOLIDAJ MINES LIMITED,Adansi Consolidated Mines Limited
117,245075,1903,"ADANSI CONSOLIDAJ ED MINES, LIMITED.",ADANSI CONSOLIDAJ MINES LIMITED,Adansi Consolidated Mines Limited
118,457971,1911,"ADANSI GOLD MINES, LIMITED.",ADANSI GOLD MINES LIMITED,Adansi Consolidated Mines Limited
119,674793,1914,"ADARGAS MINING COM E ANY, LIMITED.",ADARGAS MINING COM ANY LIMITED,Adargas Mining Company Limited Miscellaneous
120,189796,1895,ADELAIDE COOLGARDIE GOLD MINING,ADELAIDE COOLGARDIE GOLD MINING CORPORATION,Adelaide Coolgardie Gold Mining Corporation
121,251039,1903,ADELAIDE EAR meg. LIMITED.,ADELAIDE EAR LIMITED,Adelaide Ear Limited
122,51984,1888,"ADELAIDE GOLD MINING COMPANY, LIMITED.",ADELAIDE GOLD MINING COMPANY LIMITED,Adelaide Gold Mining Company Limited
123,365037,1909,"ADELAIDE STAR MINES, LIMITED. Directors Qualification, £200 .",ADELAIDE STAR MINES LIMITED,Adelaide Star Mines Limited
124,421492,1910,ADELAIDE STAB MINES.,ADELAIDE STAR MINES LIMITED,Adelaide Star Mines Limited
125,332034,1909,"ADELINE MINES, LIMITED.",ADELINE MINES LIMITED,Adeline Mines Limited
126,245090,1903,"ADJAH BIPPO DEEP, LIMITED.",ADJAH BIPPO DEEP LIMITED,Adjah Bippo Deep Limited
127,365066,1909,"ADJUTOR SYNDICATeV LlrVMTED. Secretary and Offices C. Nomioo, 101, Leadonhall Street, B.C.",ADJUTOR SYNDICATEV LLRVMTED,Adjutor Syndicatev Llrvmted
128,605598,1913,ADJUTORWSVY VcNiDti eICsA TEL LIMITED. 001. R. G. Sherman Crawlord. | J. Sargent. I H. 1 . Ho lles,ADJUTORWSVY EICSA TEL LIMITED,Adjutor Syndicatev Llrvmted
129,831391,1917,"ADJUTQR SYNDICATE. LIMITED. Registered December 23, 1907 see vol. for 1913 . On October 31, 1916, the company was dissolved.",ADJUTQR SYNDICATE LIMITED AFRICAN AND,Adjutor Syndicatev Llrvmted
130,245110,1903,"ADLAM S WEST AFRICAN SYNDICATE, LIMITED.",ADLAM WEST AFRICAN SYNDICATE LIMITED,Adlam West African Syndicate Limited
131,289853,1908,ADOLF BLEICHERT,ADOLF BLEICHERT WIRE ROPEWAYS,Adolf Bleichert Wire Ropeways
132,245126,1903,"ADRAR SYNDICATE, LIMITED.",ADRAR SYNDICATE LIMITED,Adrar Syndicate Limited
133,316668,1908,are issued and fully paid. No accounts received. TsTrem ADU RA MINING COMPANyTT-I m itedT,ADU MINING COMPANYTT,Adu Mining Companytt
134,285268,1908,"ADULESSA SYNDICATE, LIMITED.",ADULESSA SYNDICATE LIMITED,Adulessa Syndicate Limited
135,245133,1903,"ADULESSAV SYN DICAIE, LIMITED.",ADULESSAV SYN DICAIE LIMITED,Adulessav Syn Dicaie Limited
136,285276,1908,ADVENTURERS ASHANTI AND WASSAU . LIMITED.,ADVENTURERS ASHANTI AND WASSAU LIMITED,Adventurers Ashanti And Wassau Limited
137,518652,1912,ADVENTURERS ASHANTI NpI7WASS AUj LI M ITED.,ADVENTURERS ASHANTI NPITWASS AUJ ITED,Adventurers Ashanti And Wassau Limited
138,93516,1891,"ADVENTURERS OF MEXICO, LIMITED.",ADVENTURERS MEXICO LIMITED,Adventurers mexico Limited
139,190380,1895,AETDACABA BOLIVIA SILVEB,AETDACABA BOLIVIA SILVEB,Aetdacaba Bolivia Silveb
140,94567,1891,AETJBA ISLAND GOLD,AETJBA ISLAND GOLD,Aetjba Island Gold
141,149053,1893,AFBICAIT EXCHEQUER GOLD,AFBICAIT EXCHEQUER GOLD,African Exchequer Gold
142,518681,1912,AFBICAN AND EUROPEAN INVEBTMENT,AFBICAN AND EUROPEAN INVEBTMENT,African And European Investment
143,458207,1911,AFBICAN FEEEHOLD GOAL,AFBICAN FEEEHOLD GOAL,African Feeehold Goal
144,518927,1912,AFBICAN LAND AND INVESTMENT-eontinued.,AFBICAN LAND AND INVESTMENT,African Land And Investment
145,116642,1891,AFBICAtf GOLD SHABE INVESTMENT-continuod.,AFBICATF GOLD SHABE INVESTMENT,African Gold Share Investment
146,308607,1908,AFBIOAN BRITISH COLUMBIA CORFORATION,AFBIOAN BRITISH COLUMBIA CORFORATION AGGER,African British Columbia Corporation
147,365075,1909,"AFFA SYNDICATE, LIMITED.",AFFA SYNDICATE LIMITED,Affa Syndicate Limited
148,388859,1910,AffGLO-AUSTRALIAlT EXPLORATION oontinued.,AFFGLO AUSTRALIALT EXPLORATION,Anglo Australia Exploration
149,1032814,1921,"AFFOH DEVELOPMENT SYND., LTD.",AFFOH DEVELOPMENT SYNDICATE LIMITED,Affoh Development Syndicate Limited
150,458010,1911,"AFFOH GOLD MINING SYNDICATE, LIMITED.",AFFOH GOLD MINING SYNDICATE LIMITED,Affoh Gold Mining Syndicate Limited
151,245178,1903,"AFIENOU GOLD MNES, LIMITED.",AFIENOU GOLD MNES LIMITED,Afienou Gold Mnes Limited
152,149106,1893,AFKICAIT GOLD BECOVERY,AFKICAIT GOLD BECOVERY,African Gold Becovery
153,396992,1910,"AFKICAN CITY PROPEHTIES. AuditorsS ecTruertqauraynd,anYdounps & Co. | Bankers Parr s Bank, Limited. Offices Charles Forbes, 0, Old Jewry, K.C.",AFKICAN CITY PROPEHTIES,African City Propehties
154,286256,1908,AFlilGAN COMPANIES. 108,AFLILGAN COMPANIES ANGLO FBENCH LAND,Aflilgan Companies Anglo Fbench Land
155,341962,1909,"AFmCAN LAND AND INVESTMENT CO., LTD.",AFMCAN LAND AND INVESTMENT LIMITED,Afmcan Land And Investment Limited
156,459518,1911,AFMCAX COMPANIES. 171 . .,AFMCAX COMPANIES AUCKLAND PARK,Afmcax Companies Auckland Park
157,1117379,1923,"do , 1923. 19 AFMoEr RICAN SMELTING half-year ended June 30, 1922, the profit and loss credit balance was",AFMOER RICAN SMELTING,Afmoer Rican Smelting
158,365081,1909,"AFON COLLIERIES. LIMITED. Directors P. C. Mullens. | A. L. Owen. | C. H. Jenkins. Managing. Secretary and Offices C. H. Jenkins, 8, Crown Street, Port Talbot. This company was registered March 4th, 1SJ08, to acquire and work collieries in",AFON COLLIERIES LIMITED,Afon Collieries Limited
159,251073,1903,AFORTUNADA COPPER MINES. LIMITED.,AFORTUNADA COPPER MINES LIMITED,Afortunada Copper Mines Limited
160,458384,1911,"AFR ICAN SALTPETRE COMPANY, LIMITED.",AFR ICAN SALTPETRE COMPANY LIMITED,African Saltpetre Company Limited
