"","id","author","name","simpname"
"74","99_6114",NA,NA,NA
"75","99_8566",NA,NA,NA
"76","98_4810",NA,NA,NA
"77","98_5870",NA,NA,NA
"78","98_7986",NA,NA,NA
"79","98_10178",NA,NA,NA
"80","98_10189",NA,NA,NA
"81","96_393",NA,NA,NA
"82","96_1831",NA,NA,NA
"83","96_2586",NA,NA,NA
"84","96_2998",NA,NA,NA
"85","96_3060",NA,NA,NA
"86","96_8133",NA,NA,NA
"87","96_8391",NA,NA,NA
"88","96_9654",NA,NA,NA
"89","95_357",NA,NA,NA
"90","95_2208",NA,NA,NA
"91","95_4383",NA,NA,NA
"92","95_6798",NA,NA,NA
"93","94_2965",NA,NA,NA
"94","94_7224",NA,NA,NA
"95","93_1807",NA,NA,NA
"96","93_9601",NA,NA,NA
"97","93_10184",NA,NA,NA
"98","93_13624",NA,NA,NA
"99","92_730",NA,NA,NA
"100","92_1422",NA,NA,NA
"101","92_1930",NA,NA,NA
"102","92_2287",NA,NA,NA
"103","92_8344",NA,NA,NA
"104","92_10460",NA,NA,NA
"105","92_11511",NA,NA,NA
"106","92_12997",NA,NA,NA
"107","92_13449",NA,NA,NA
"108","92_13911",NA,NA,NA
"109","91_8232",NA,NA,NA
"110","91_11515",NA,NA,NA
"111","91_12214",NA,NA,NA
"112","90_1444",NA,NA,NA
"113","90_5308",NA,NA,NA
"114","90_7396",NA,NA,NA
"115","90_11730",NA,NA,NA
"116","90_13369",NA,NA,NA
"117","89_111",NA,NA,NA
"118","89_3342",NA,NA,NA
"119","89_8251",NA,NA,NA
"120","89_9471",NA,NA,NA
"121","89_11637",NA,NA,NA
"122","89_12607",NA,NA,NA
"123","89_13619",NA,NA,NA
"124","89_15002",NA,NA,NA
"125","88_352",NA,NA,NA
"126","88_3518",NA,NA,NA
"127","88_5837",NA,NA,NA
"128","88_10666",NA,NA,NA
"129","88_10768",NA,NA,NA
"130","88_14984",NA,NA,NA
"131","87_907",NA,NA,NA
"132","87_974",NA,NA,NA
"133","87_3121",NA,NA,NA
"134","87_5470",NA,NA,NA
"135","87_6786",NA,NA,NA
"136","87_7665",NA,NA,NA
"137","87_8633",NA,NA,NA
"138","87_9278",NA,NA,NA
"139","87_11977",NA,NA,NA
"140","86_489",NA,NA,NA
"141","86_959",NA,NA,NA
"142","86_6658",NA,NA,NA
"143","86_6774",NA,NA,NA
"144","86_9546",NA,NA,NA
"145","86_9843",NA,NA,NA
"146","86_10322",NA,NA,NA
"147","86_14085",NA,NA,NA
"148","84_2816",NA,NA,NA
"149","84_3169",NA,NA,NA
"150","84_12643",NA,NA,NA
"151","84_12647",NA,NA,NA
"152","83_2072",NA,NA,NA
"153","83_2746",NA,NA,NA
"154","83_6711",NA,NA,NA
"155","83_12874",NA,NA,NA
"156","82_3149",NA,NA,NA
"157","81_315",NA,NA,NA
"158","81_2530",NA,NA,NA
"159","81_3120",NA,NA,NA
"160","81_5226",NA,NA,NA
"161","81_7608",NA,NA,NA
"162","81_8387",NA,NA,NA
"163","81_9502",NA,NA,NA
"164","81_13274",NA,NA,NA
"165","80_4738",NA,NA,NA
"166","80_6135",NA,NA,NA
"167","80_7203",NA,NA,NA
"168","80_8528",NA,NA,NA
"169","80_8559",NA,NA,NA
"170","80_10055",NA,NA,NA
"171","79_1132",NA,NA,NA
"172","79_2157",NA,NA,NA
"173","79_2419",NA,NA,NA
"174","79_10405",NA,NA,NA
"175","79_12954",NA,NA,NA
"176","79_13404",NA,NA,NA
"177","78_1001",NA,NA,NA
"178","78_3273",NA,NA,NA
"179","78_7073",NA,NA,NA
"180","78_7910",NA,NA,NA
"181","78_7945",NA,NA,NA
"182","78_9485",NA,NA,NA
"183","78_11363",NA,NA,NA
"184","77_1785",NA,NA,NA
"185","77_5277",NA,NA,NA
"186","77_9274",NA,NA,NA
"187","76_1225",NA,NA,NA
"188","76_6322",NA,NA,NA
"189","76_9459",NA,NA,NA
"190","76_11658",NA,NA,NA
"191","75_7883",NA,NA,NA
"192","75_8403",NA,NA,NA
"193","75_10724",NA,NA,NA
"194","74_1154",NA,NA,NA
"195","74_9988",NA,NA,NA
"196","73_2747",NA,NA,NA
"197","73_2778",NA,NA,NA
"198","73_2832",NA,NA,NA
"199","73_5633",NA,NA,NA
"200","72_1072",NA,NA,NA
"201","72_1205",NA,NA,NA
"202","72_6416",NA,NA,NA
"203","72_7204",NA,NA,NA
"204","71_336",NA,NA,NA
"205","71_822",NA,NA,NA
"206","71_4988",NA,NA,NA
"207","71_5583",NA,NA,NA
"208","70_1991",NA,NA,NA
"209","70_4408",NA,NA,NA
"210","70_5239",NA,NA,NA
"211","70_5603",NA,NA,NA
"212","69_4390",NA,NA,NA
"213","69_6723",NA,NA,NA
"214","69_7180",NA,NA,NA
"215","68_262",NA,NA,NA
"216","68_1317",NA,NA,NA
"217","68_4273",NA,NA,NA
"218","68_6045",NA,NA,NA
"219","68_6932",NA,NA,NA
"220","67_1821",NA,NA,NA
"221","67_3351",NA,NA,NA
"222","66_3587",NA,NA,NA
"223","66_3843",NA,NA,NA
"224","66_5716",NA,NA,NA
"225","66_7285",NA,NA,NA
"226","66_8328",NA,NA,NA
"227","65_3609",NA,NA,NA
"228","65_4077",NA,NA,NA
"229","65_5477",NA,NA,NA
"230","65_5659",NA,NA,NA
"231","65_8043",NA,NA,NA
"232","64_901",NA,NA,NA
"233","64_2390",NA,NA,NA
"234","64_3310",NA,NA,NA
"235","64_4616",NA,NA,NA
"236","64_5642",NA,NA,NA
"237","64_6208",NA,NA,NA
"238","64_8129",NA,NA,NA
"239","63_1089",NA,NA,NA
"240","63_2916",NA,NA,NA
"241","63_3010",NA,NA,NA
"242","63_5265",NA,NA,NA
"243","62_1075",NA,NA,NA
"244","62_3999",NA,NA,NA
"245","62_4181",NA,NA,NA
"246","62_4391",NA,NA,NA
"247","62_6017",NA,NA,NA
"248","61_1020",NA,NA,NA
"249","61_1983",NA,NA,NA
"250","61_3212",NA,NA,NA
"251","61_3442",NA,NA,NA
"252","61_3446",NA,NA,NA
"253","60_704",NA,NA,NA
"254","60_1896",NA,NA,NA
"255","60_2144",NA,NA,NA
"256","60_2316",NA,NA,NA
"257","60_5690",NA,NA,NA
"258","58_5371",NA,NA,NA
"259","57_279",NA,NA,NA
"260","57_2229",NA,NA,NA
"261","56_641",NA,NA,NA
"262","55_5484",NA,NA,NA
"263","54_619",NA,NA,NA
"264","54_1187",NA,NA,NA
"265","54_2512",NA,NA,NA
"266","54_4776",NA,NA,NA
"267","54_5189",NA,NA,NA
"268","52_312",NA,NA,NA
"269","52_2340",NA,NA,NA
"270","52_3156",NA,NA,NA
"271","52_3561",NA,NA,NA
"272","52_4379",NA,NA,NA
"273","52_4708",NA,NA,NA
"274","51_561",NA,NA,NA
"275","51_1779",NA,NA,NA
"276","51_2136",NA,NA,NA
"277","51_6072",NA,NA,NA
"278","50_1768",NA,NA,NA
"279","50_4435",NA,NA,NA
"280","49_3804",NA,NA,NA
"281","49_4392",NA,NA,NA
"282","48_1139",NA,NA,NA
"283","48_5214",NA,NA,NA
"284","48_6332",NA,NA,NA
"285","47_294",NA,NA,NA
"286","47_2063",NA,NA,NA
"287","47_2601",NA,NA,NA
"288","47_5041",NA,NA,NA
"289","46_3949",NA,NA,NA
"290","46_4623",NA,NA,NA
"291","45_86",NA,NA,NA
"292","45_1701",NA,NA,NA
"293","45_2591",NA,NA,NA
"294","45_2994",NA,NA,NA
"295","45_3591",NA,NA,NA
"296","44_1658",NA,NA,NA
"297","43_267",NA,NA,NA
"298","43_1169",NA,NA,NA
"299","43_2163",NA,NA,NA
"300","43_3308",NA,NA,NA
"301","43_3640",NA,NA,NA
"302","42_1541",NA,NA,NA
"303","42_2079",NA,NA,NA
"304","42_4092",NA,NA,NA
"305","42_4461",NA,NA,NA
"306","41_902",NA,NA,NA
"307","41_949",NA,NA,NA
"308","41_1300",NA,NA,NA
"309","41_1359",NA,NA,NA
"310","41_4041",NA,NA,NA
"311","41_4638",NA,NA,NA
"312","39_738",NA,NA,NA
"313","39_1972",NA,NA,NA
"314","39_1972","Louis Nell","louis nadel","nadel, l"
"315","39_2279",NA,NA,NA
"316","38_476",NA,NA,NA
"317","38_1710",NA,NA,NA
"318","38_3010",NA,NA,NA
"319","37_2795",NA,NA,NA
"320","37_2797",NA,NA,NA
"321","37_3160",NA,NA,NA
"322","37_3515",NA,NA,NA
"323","36_59",NA,NA,NA
"324","36_1100",NA,NA,NA
"325","36_1513",NA,NA,NA
"326","36_2351",NA,NA,NA
"327","35_447",NA,NA,NA
"328","35_549",NA,NA,NA
"329","35_2348",NA,NA,NA
"330","34_1671",NA,NA,NA
"331","34_2060",NA,NA,NA
"332","34_2401",NA,NA,NA
"333","34_2961",NA,NA,NA
"334","33_663",NA,NA,NA
"335","33_806",NA,NA,NA
"336","33_1169",NA,NA,NA
"337","32_3023",NA,NA,NA
"338","31_3161",NA,NA,NA
"339","31_3880",NA,NA,NA
"340","30_647",NA,NA,NA
"341","30_1264",NA,NA,NA
"342","30_1640",NA,NA,NA
"343","30_2095",NA,NA,NA
"344","30_2449",NA,NA,NA
"345","30_3128",NA,NA,NA
"346","29_89",NA,NA,NA
"347","29_816",NA,NA,NA
"348","29_936",NA,NA,NA
"349","29_1090",NA,NA,NA
"350","29_2801",NA,NA,NA
"351","29_3157",NA,NA,NA
"352","28_2284",NA,NA,NA
"353","28_4495",NA,NA,NA
"354","27_1397",NA,NA,NA
"355","26_3940",NA,NA,NA
"356","25_1839",NA,NA,NA
"357","25_2009",NA,NA,NA
"358","25_3299",NA,NA,NA
"359","25_3575",NA,NA,NA
"360","24_370",NA,NA,NA
"361","24_683",NA,NA,NA
"362","24_683","David Kinnear Clark",NA,NA
"363","24_830",NA,NA,NA
"364","24_3309",NA,NA,NA
"365","24_3469",NA,NA,NA
"366","24_3786",NA,NA,NA
"367","23_882",NA,NA,NA
"368","23_3055",NA,NA,NA
"369","23_3708",NA,NA,NA
"370","19_731",NA,NA,NA
"371","19_1676",NA,NA,NA
"372","19_2187",NA,NA,NA
"373","19_3417",NA,NA,NA
"374","18_139","Oswatp J Hernnicn",NA,NA
"375","18_595",NA,NA,NA
"376","18_2310",NA,NA,NA
"377","18_3164",NA,NA,NA
"378","17_3232",NA,NA,NA
"379","15_221",NA,NA,NA
"380","15_242",NA,NA,NA
"381","15_1908",NA,NA,NA
"382","15_2358",NA,NA,NA
"383","14_124",NA,NA,NA
"384","14_2093",NA,NA,NA
"385","14_2399",NA,NA,NA
"386","13_1904",NA,NA,NA
"387","12_1164",NA,NA,NA
