loc,lat,lon,country,reg
Xiamen,24.4797,118.0819,China,NA
Neijiang,29.5872,105.0635,China,NA
Baicheng,23.901,106.6194,China,NA
Anshan,41.1066,122.9895,China,NA
Medan,3.5894,98.6739,Indonesia,NA
Yulinshi,38.2655,109.7388,China,NA
Wenzhou,27.9991,120.6561,China,NA
Changzhou,31.8122,119.9692,China,NA
Puyang,35.7639,115.03,China,NA
Jiaozuo,35.229,113.2304,China,NA
Nanchang,28.6842,115.88720000000001,China,NA
Ibadan,7.3964,3.9167,Nigeria,NA
Hechi,24.6928,108.085,China,NA
Detroit,42.3834,-83.1024,United States,NA
Montreal,45.5089,-73.5617,Canada,NA
Busan,35.18,129.075,South Korea,NA
Hohhot,40.8151,111.6629,China,NA
Seattle,47.6211,-122.3244,United States,NA
Algiers,36.7539,3.0589,Algeria,NA
Hanzhong,33.0794,107.026,China,NA
Tangshan,39.6292,118.1742,China,NA
Shiyan,32.6351,110.7755,China,NA
Lucknow,26.85,80.95,India,NA
Siping,43.1715,124.3644,China,NA
Mashhad,36.3,59.6,Iran,NA
Boankra,6.6944,-1.4028,Ghana,NA
Dubai,25.2631,55.2972,United Arab Emirates,NA
Qinzhou,21.95,108.6167,China,NA
Guiyang,26.5794,106.7078,China,NA
Bengbu,32.9354,117.3531,China,NA
Bazhou,31.8576,106.7559,China,NA
Qincheng,34.5809,105.7311,China,NA
Suining,30.5098,105.5737,China,NA
Leshan,29.5854,103.7575,China,NA
Putian,25.4394,119.0103,China,NA
Zhenjiang,32.2109,119.4551,China,NA
Faisalabad,31.4167,73.0911,Pakistan,NA
Guang'an,30.4673,106.6336,China,NA
Tongren,27.7233,109.1885,China,NA
Qinhuangdao,39.9398,119.5881,China,NA
Tongliao,43.6172,122.264,China,NA
Jinzhou,41.1144,121.1292,China,NA
Heyuan,23.7503,114.6923,China,NA
Jaipur,26.9,75.8,India,NA
Xinzhou,38.4178,112.7233,China,NA
Lanzhou,36.0617,103.8318,China,NA
Wuzhou,23.4833,111.3167,China,NA
Addis Ababa,9.03,38.74,Ethiopia,NA
Chaoyang,41.5757,120.4486,China,NA
Brasilia,-15.7939,-47.8828,Brazil,NA
Taichung,24.1439,120.6794,Taiwan,NA
Kuwait City,29.3697,47.9783,Kuwait,NA
Budapest,47.4925,19.0514,Hungary,NA
Shaoguan,24.8011,113.5927,China,NA
Shanwei,22.7664,115.3331,China,NA
Quezon City,14.63,121.03,Philippines,NA
Rizhao,35.4164,119.4331,China,NA
Sanaa,15.3483,44.2064,Yemen,NA
Incheon,37.4833,126.6333,South Korea,NA
Guatemala City,14.6099,-90.5252,Guatemala,NA
Zhongshan,22.5333,113.35,China,NA
Ningde,26.6617,119.5228,China,NA
Weihai,37.5,122.1,China,NA
Daqing,46.5979,125.008,China,NA
Bursa,40.1833,29.05,Turkey,NA
Haikou,20.02,110.32,China,NA
Xiangtan,27.8431,112.9228,China,NA
Pyongyang,39.0194,125.7381,North Korea,NA
Minneapolis,44.9635,-93.2678,United States,NA
Omdurman,15.65,32.4833,Sudan,NA
Malang,-7.98,112.62,Indonesia,NA
Mudanjiang,44.5861,129.5997,China,NA
Stuttgart,48.7775,9.18,Germany,NA
Brooklyn,40.6501,-73.9496,United States,NA
Kaohsiung,22.615,120.2975,Taiwan,NA
Guayaquil,-2.19,-79.8875,Ecuador,NA
Longyan,25.0881,117.0244,China,NA
Tieling,42.2841,123.8365,China,NA
Baotou,40.6562,109.8345,China,NA
Handan,36.6116,114.4894,China,NA
Cawnpore,26.4499,80.3319,India,NA
Dingxi,35.5806,104.6263,China,NA
Nanping,26.6448,118.1728,China,NA
Tampa,27.9945,-82.4447,United States,NA
Zigong,29.3498,104.7645,China,NA
Maracaibo,10.6333,-71.6333,Venezuela,NA
Mbuji-Mayi,-6.15,23.6,Congo,NA
Denver,39.762,-104.8758,United States,NA
Gulou,26.0865,119.298,China,NA
Weifang,36.7167,119.1,China,NA
Huai'an,33.5058,119.1392,China,NA
Ankang,32.6877,109.0235,China,NA
Antananarivo,-18.9333,47.5167,Madagascar,NA
Huludao,40.7094,120.8378,China,NA
Munich,48.1375,11.575,Germany,NA
Yanjiang,30.1256,104.6397,China,NA
Sanming,26.2658,117.6302,China,NA
Tashkent,41.3111,69.2797,Uzbekistan,NA
Longba,33.535,105.349,China,NA
Yangjiang,21.8556,111.9627,China,NA
Jiamusi,46.8081,130.3653,China,NA
Luohe,33.583,114.0109,China,NA
Lincang,23.8864,100.0871,China,NA
Xuanzhou,30.9475,118.7518,China,NA
Yunfu,22.9242,112.0353,China,NA
Shaoxing,30,120.5833,China,NA
Yantai,37.3997,121.2664,China,NA
Huizhou,23.1115,114.4152,China,NA
Lishui,28.45,119.9167,China,NA
Guangyuan,32.4353,105.8398,China,NA
Lusaka,-15.4167,28.2833,Zambia,NA
Huangshi,30.2018,115.0326,China,NA
Xining,36.6239,101.7787,China,NA
Ouagadougou,12.3686,-1.5275,Burkina Faso,NA
Daegu,35.8717,128.6017,South Korea,NA
Fortaleza,-3.7275,-38.5275,Brazil,NA
Yaounde,3.8667,11.5167,Cameroon,NA
Jilin,43.8519,126.5481,China,NA
Dandong,40.1167,124.3833,China,NA
Zhuhai,22.2769,113.5678,China,NA
Lianshan,40.7523,120.828,China,NA
Yingkou,40.6653,122.2297,China,NA
Antalya,36.8874,30.7075,Turkey,NA
Nagpur,21.1497,79.0806,India,NA
Accra,5.55,-0.2,Ghana,NA
Bekasi,-6.2349,106.9923,Indonesia,NA
Ghaziabad,28.67,77.42,India,NA
Luoyang,34.6587,112.4245,China,NA
Brisbane,-27.4678,153.0281,Australia,NA
Anshun,26.2456,105.934,China,NA
Depok,-6.394,106.8225,Indonesia,NA
Shangzhou,33.868,109.9244,China,NA
Huainan,32.4831,117.0164,China,NA
Kuaidamao,41.7302,125.9471,China,NA
Fukuoka,33.5833,130.4,Japan,NA
Yan'an,36.5952,109.4863,China,NA
Nantong,31.9829,120.8873,China,NA
Tangerang,-6.1783,106.6319,Indonesia,NA
Caracas,10.4806,-66.9036,Venezuela,NA
Sanmenxia,34.7736,111.195,China,NA
Laibin,23.7333,109.2333,China,NA
Konya,37.8667,32.4833,Turkey,NA
Manaus,-3.1,-60.0167,Brazil,NA
Esfahan,32.6447,51.6675,Iran,NA
Qinbaling,35.7278,107.64,China,NA
Baltimore,39.3051,-76.6144,United States,NA
Ma'anshan,31.6858,118.5101,China,NA
Shengli,37.45,118.4667,China,NA
Gaoping,30.7824,106.1281,China,NA
Harare,-17.8292,31.0522,Zimbabwe,NA
Kowloon,22.3167,114.1833,Hong Kong,NA
Las Vegas,36.2333,-115.2654,United States,NA
Havana,23.1367,-82.3589,Cuba,NA
Phnom Penh,11.5694,104.9211,Cambodia,NA
Puning,23.2993,116.1586,China,NA
Huaibei,33.9562,116.789,China,NA
Qingyang,24.8141,118.5792,China,NA
Haiphong,20.8651,106.6838,Vietnam,NA
Chongzuo,22.4167,107.3667,China,NA
Rawalpindi,33.6,73.0333,Pakistan,NA
Yushan,31.3867,120.9766,China,NA
St. Louis,38.6359,-90.2451,United States,NA
Kumasi,6.6667,-1.6167,Ghana,NA
Vadodara,22.3,73.2,India,NA
Hezhou,24.4164,111.5478,China,NA
Pingliang,35.5412,106.6819,China,NA
Vishakhapatnam,17.7042,83.2978,India,NA
Gujranwala,32.1567,74.19,Pakistan,NA
Gaziantep,37.0628,37.3792,Turkey,NA
Fushun,41.8708,123.8917,China,NA
Riverside,33.9381,-117.3949,United States,NA
Bamako,12.6458,-7.9922,Mali,NA
Quito,-0.22,-78.5125,Ecuador,NA
Minsk,53.9,27.5667,Belarus,NA
Tijuana,32.525,-117.0333,Mexico,NA
Bamenda,5.9614,10.1517,Cameroon,NA
Boosaaso,11.2886,49.1819,Somalia,NA
Indore,22.7167,75.8472,India,NA
Sanliurfa,37.1583,38.7917,Turkey,NA
Karaj,35.8272,50.9489,Iran,NA
Kananga,-5.897,22.4488,Congo,NA
Peshawar,34.0144,71.5675,Pakistan,NA
Sapporo,43.0667,141.35,Japan,NA
Ecatepec,19.6097,-99.06,Mexico,NA
Pingxiang,27.6333,113.85,China,NA
Orlando,28.4773,-81.337,United States,NA
Aleppo,36.2,37.16,Syria,NA
Almaty,43.2775,76.8958,Kazakhstan,NA
Yinchuan,38.4795,106.2254,China,NA
Thane,19.1972,72.9722,India,NA
Santos,-23.9369,-46.325,Brazil,NA
Blantyre,-15.7861,35.0058,Malawi,NA
Bucharest,44.4325,26.1039,Romania,NA
Curitiba,-25.4297,-49.2711,Brazil,NA
Multan,30.1978,71.4697,Pakistan,NA
Tainan,22.9833,120.1833,Taiwan,NA
Xiping,40.082,113.2981,China,NA
Port Harcourt,4.8242,7.0336,Nigeria,NA
Saidu Sharif,34.75,72.3572,Pakistan,NA
Liaoyang,41.2643,123.1772,China,NA
Beihai,21.4667,109.1,China,NA
Brazzaville,-4.2694,15.2714,Congo,NA
Fuxin,42.0127,121.6486,China,NA
Wuwei,37.9278,102.6329,China,NA
Mersin,36.8,34.6333,Turkey,NA
Bhopal,23.25,77.4167,India,NA
Lubumbashi,-11.6647,27.4794,Congo,NA
Denpasar,-8.65,115.2167,Indonesia,NA
Davao,7.0667,125.6,Philippines,NA
Shuyangzha,34.1299,118.7734,China,NA
Adana,37,35.3213,Turkey,NA
Brussels,50.8467,4.3525,Belgium,NA
Hyderabad City,25.3792,68.3683,Pakistan,NA
Diyarbakir,37.91,40.24,Turkey,NA
Chinchvad,18.6186,73.8037,India,NA
Montevideo,-34.8836,-56.1819,Uruguay,NA
Pittsburgh,40.4397,-79.9763,United States,NA
Shuozhou,39.3408,112.4292,China,NA
Cincinnati,39.1413,-84.506,United States,NA
Benxi,41.292,123.761,China,NA
Baiyin,36.5448,104.1766,China,NA
Mosul,36.34,43.13,Iraq,NA
Manhattan,40.7834,-73.9662,United States,NA
Caloocan City,14.65,120.97,Philippines,NA
Kampala,0.3136,32.5811,Uganda,NA
Patna,25.6,85.1,India,NA
Tegucigalpa,14.1,-87.2167,Honduras,NA
Cleveland,41.4764,-81.6805,United States,NA
Sanzhou,30.82,108.4,China,NA
Changshu,31.65,120.7333,China,NA
Mecca,21.4225,39.8233,Saudi Arabia,NA
Heihe,50.2458,127.4886,China,NA
Jingdezhen,29.2942,117.2036,China,NA
Conakry,9.5092,-13.7122,Guinea,NA
Recife,-8.05,-34.9,Brazil,NA
Indianapolis,39.7771,-86.1458,United States,NA
Austin,30.3005,-97.7522,United States,NA
Sangereng,-6.2889,106.7181,Indonesia,NA
Kansas City,39.1238,-94.5541,United States,NA
Zhongli,24.965,121.2168,Taiwan,NA
Novosibirsk,55.0333,82.9167,Russia,NA
Bilaspur,22.09,82.15,India,NA
Semarang,-6.9667,110.4167,Indonesia,NA
Ludhiana,30.91,75.85,India,NA
Narayanganj,23.62,90.5,Bangladesh,NA
Stockholm,59.3294,18.0686,Sweden,NA
Chengtangcun,35.0833,117.15,China,NA
Balandougou,13.3558,-9.5517,Mali,NA
Agwar,27.18,78.02,India,NA
Yopougon,5.3167,-4.0667,Cote d'Ivoire,NA
Puebla,19.0333,-98.1833,Mexico,NA
Madurai,9.9252,78.1198,India,NA
Shiraz,29.61,52.5425,Iran,NA
Jamshedpur,22.7925,86.1842,India,NA
Tabriz,38.0814,46.3006,Iran,NA
Huzhou,30.8925,120.0875,China,NA
Columbus,39.9862,-82.9855,United States,NA
Sofia,42.7,23.33,Bulgaria,NA
Kawasaki,35.5167,139.7,Japan,NA
Palembang,-2.9861,104.7556,Indonesia,NA
Zhangjiajie,29.1255,110.4844,China,NA
Jiaxing,30.7522,120.75,China,NA
Charlotte,35.2083,-80.8303,United States,NA
Guiping,23.4,110.0833,China,NA
Lianjiang,21.6146,110.2794,China,NA
Ximeicun,24.9633,118.3811,China,NA
Jianguang,28.1958,115.7833,China,NA
Yucheng,29.9888,103.0007,China,NA
Xushan,30.1697,121.2665,China,NA
Belem,-1.4558,-48.5039,Brazil,NA
Virginia Beach,36.7335,-76.0435,United States,NA
Leizhou,20.9147,110.0806,China,NA
Gwangju,35.1653,126.8486,South Korea,NA
Nasik,20,73.78,India,NA
Porto Alegre,-30.0331,-51.23,Brazil,NA
Onitsha,6.1667,6.7833,Nigeria,NA
Abu Dhabi,24.4667,54.3667,United Arab Emirates,NA
Daejeon,36.351,127.385,South Korea,NA
Zapopan,20.7167,-103.4,Mexico,NA
Bronx,40.8501,-73.8662,United States,NA
Yekaterinburg,56.8356,60.6128,Russia,NA
Huazhou,32.6832,112.079,China,NA
Kyoto,35.0117,135.7683,Japan,NA
Jinhua,29.1046,119.6494,China,NA
Shuangyashan,46.6388,131.1545,China,NA
Pizhou,34.3422,118.0097,China,NA
Dakar,14.6928,-17.4467,Senegal,NA
Kharkiv,49.9925,36.2311,Ukraine,NA
Yangshe,31.8775,120.5512,China,NA
Guyuan,36.008,106.2782,China,NA
Rui'an,27.778,120.6526,China,NA
Khulna,22.8167,89.55,Bangladesh,NA
Muscat,23.6139,58.5922,Oman,NA
Wenling,28.3797,121.3718,China,NA
Gaozhou,21.9135,110.8481,China,NA
Faridabad,28.4167,77.3,India,NA
Chizhou,30.6583,117.4849,China,NA
Tel Aviv-Yafo,32.08,34.78,Israel,NA
Ulaanbaatar,47.9203,106.9172,Mongolia,NA
Goiania,-16.6667,-49.25,Brazil,NA
Fuqing,25.7232,119.3735,China,NA
Kayseri,38.7225,35.4875,Turkey,NA
Wuzhong,37.9874,106.1919,China,NA
Pingdu,36.7833,119.9556,China,NA
Milan,45.4669,9.19,Italy,NA
Aurangabad,19.88,75.32,India,NA
Copenhagen,55.6761,12.5683,Denmark,NA
Yangquan,37.8576,113.5762,China,NA
Yutan,28.3147,112.554,China,NA
Huangshan,29.7132,118.3151,China,NA
Auckland,-36.8406,174.74,New Zealand,NA
Makassar,-5.1619,119.4362,Indonesia,NA
Milwaukee,43.0642,-87.9675,United States,NA
Rajkot,22.3,70.7833,India,NA
Prague,50.0875,14.4214,Czechia,NA
Samsun,41.2903,36.3336,Turkey,NA
Liangshi,27.2578,111.7351,China,NA
Barranquilla,10.9833,-74.8019,Colombia,NA
Saitama,35.8614,139.6456,Japan,NA
Guarulhos,-23.4628,-46.5328,Brazil,NA
Al Basrah,30.515,47.81,Iraq,NA
Mandalay,21.9831,96.0844,Myanmar,NA
Juarez,31.7386,-106.487,Mexico,NA
Xintai,35.91,117.78,China,NA
Wusong,30.9333,117.7667,China,NA
Meerut,28.98,77.71,India,NA
Yushu,44.8249,126.5451,China,NA
Rongcheng,26.2312,104.0966,China,NA
Adelaide,-34.9275,138.6,Australia,NA
Baishan,41.9377,126.4179,China,NA
Dayan,26.8808,100.2208,China,NA
Haicheng,40.8523,122.7474,China,NA
Jiangyin,31.9087,120.2653,China,NA
Yicheng,31.3697,119.8239,China,NA
Huaiyin,33.5819,119.028,China,NA
Cacuaco,-8.8053,13.2444,Angola,NA
Soweto,-26.2678,27.8585,South Africa,NA
Canagatan,18,121.8,Philippines,NA
Helsinki,60.1708,24.9375,Finland,NA
Jabalpur,23.1667,79.9333,India,NA
Providence,41.823,-71.4187,United States,NA
Rucheng,32.3852,120.5634,China,NA
Ahvaz,31.3203,48.6692,Iran,NA
Jepara,-6.5333,110.6667,Indonesia,NA
Comayaguela,14.0981,-87.2097,Honduras,NA
Laiwu,36.1833,117.6667,China,NA
Sharjah,25.3575,55.3908,United Arab Emirates,NA
Kalamboli,19.2333,73.1333,India,NA
Jingling,30.6667,113.1667,China,NA
Kazan,55.7964,49.1089,Russia,NA
Suwon,37.2667,127.0167,South Korea,NA
Yongcheng,33.9317,116.4459,China,NA
Sumedang,-6.84,107.9208,Indonesia,NA
Calgary,51.05,-114.0667,Canada,NA
Can Tho,10.0333,105.7833,Vietnam,NA
Bagam,1.0833,104.0333,Indonesia,NA
Beidao,34.602,105.918,China,NA
Vasai,19.47,72.8,India,NA
Xiangshui,26.5964,104.8314,China,NA
Jacksonville,30.3322,-81.6749,United States,NA
Akcaabat,41.0167,39.55,Turkey,NA
Campinas,-22.9058,-47.0608,Brazil,NA
Dadukou,26.5849,101.7149,China,NA
Mombasa,-4.05,39.6667,Kenya,NA
Lingcheng,22.7,110.35,China,NA
Najafgarh,28.6092,76.9798,India,NA
Vila Velha,3.2167,-51.2167,Brazil,NA
Gazipura,23.9889,90.375,Bangladesh,NA
Chelyabinsk,55.15,61.4,Russia,NA
Varanasi,25.3189,83.0128,India,NA
Xinyu,27.795,114.9242,China,NA
Hargeysa,9.5631,44.0675,Somalia,NA
Zhangye,38.9355,100.4553,China,NA
Hiroshima,34.3914,132.4519,Japan,NA
Maiduguri,11.8333,13.15,Nigeria,NA
Chiang Mai,18.7953,98.9986,Thailand,NA
Maputo,-25.9667,32.5833,Mozambique,NA
Mbandaka,0.0478,18.2558,Congo,NA
Pikine,14.75,-17.4,Senegal,NA
Srinagar,34.09,74.79,India,NA
Liaoyuan,42.8976,125.1381,China,NA
Cilacap,-7.7167,109.017,Indonesia,NA
Yingtan,28.2333,117,China,NA
Bandar Lampung,-5.45,105.2667,Indonesia,NA
Samara,53.2028,50.1408,Russia,NA
Guankou,28.1417,113.625,China,NA
Ulsan,35.55,129.3167,South Korea,NA
Dhanbad,23.7998,86.4305,India,NA
Dingzhou,38.5158,114.9845,China,NA
Lianyuan,27.6961,111.6659,China,NA
Kaiyuan,36.0656,113.8153,China,NA
Nay Pyi Taw,19.7475,96.115,Myanmar,NA
Zhuji,29.7169,120.2314,China,NA
Kigali,-1.9536,30.0606,Rwanda,NA
Bukavu,-2.5,28.8667,Congo,NA
Leiyang,26.4179,112.8457,China,NA
Bafoussam,5.4667,10.4167,Cameroon,NA
Benin City,6.3333,5.6222,Nigeria,NA
Rostov,47.2333,39.7,Russia,NA
Xiantao,30.3833,113.4,China,NA
Amritsar,31.64,74.86,India,NA
Callao,-12.0333,-77.1333,Peru,NA
Aligarh,27.88,78.08,India,NA
Shagamu,6.8333,3.65,Nigeria,NA
Yingchuan,34.1511,113.4733,China,NA
Tbilisi,41.7225,44.7925,Georgia,NA
Guwahati,26.1722,91.7458,India,NA
Sao Luis,-2.5283,-44.3044,Brazil,NA
Bien Hoa,10.95,106.8167,Vietnam,NA
N'Djamena,12.11,15.05,Chad,NA
Mexicali,32.6633,-115.4678,Mexico,NA
Nezahualcoyotl,19.4006,-99.0148,Mexico,NA
Ikare,7.5167,5.75,Nigeria,NA
Nashville,36.1715,-86.7842,United States,NA
Tamale,9.4075,-0.8533,Ghana,NA
Xibeijie,39.737,98.5049,China,NA
Yuyao,30.0372,121.1546,China,NA
Haora,22.58,88.3294,India,NA
Hanchuan,30.652,113.8274,China,NA
Gongzhuling,43.5036,124.8088,China,NA
Krasnoyarsk,56.0089,92.8719,Russia,NA
Cologne,50.9364,6.9528,Germany,NA
Bujumbura,-3.3833,29.3667,Burundi,NA
Bishkek,42.8747,74.6122,Kyrgyzstan,NA
Zhufeng,36,119.4167,China,NA
Sao Goncalo,-22.8269,-43.0539,Brazil,NA
Yerevan,40.1814,44.5144,Armenia,NA
Ezhou,30.3972,114.8842,China,NA
Nur-Sultan,51.1472,71.4222,Kazakhstan,NA
Tongjin,37.2333,127.2,South Korea,NA
Nouakchott,18.0858,-15.9785,Mauritania,NA
Xiashi,30.5333,120.6833,China,NA
Ranchi,23.36,85.33,India,NA
Taixing,32.1724,120.0142,China,NA
Vereeniging,-26.6736,27.9319,South Africa,NA
Gwalior,26.2215,78.178,India,NA
Zhongwei,37.5139,105.1884,China,NA
Goyang,37.65,126.8,South Korea,NA
Vijayawada,16.5193,80.6305,India,NA
Chandigarh,30.75,76.78,India,NA
Sendai,38.2682,140.8694,Japan,NA
Raleigh,35.8324,-78.6429,United States,NA
Mizhou,35.99,119.3801,China,NA
Tunis,36.8064,10.1817,Tunisia,NA
Xishan,27.6609,113.4946,China,NA
Barquisimeto,10.0678,-69.3467,Venezuela,NA
Hegang,47.3139,130.2775,China,NA
Voronezh,51.6717,39.2106,Russia,NA
Changwon,35.2708,128.6631,South Korea,NA
Fangchenggang,21.6,108.3,China,NA
Shouguang,36.8833,118.7333,China,NA
Bogor,-6.5966,106.7972,Indonesia,NA
Matola,-25.9667,32.4667,Mozambique,NA
